"Plot Title: 1282986 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/23/15 12:47:55.927 PM,20.61,Logged,,,
2,10/23/15 12:47:56.927 PM,20.61,,,,
3,10/23/15 12:47:57.927 PM,20.61,,,,
4,10/23/15 12:47:58.927 PM,20.61,,,,
5,10/23/15 12:47:59.927 PM,20.61,,,,
6,10/23/15 12:48:00.927 PM,20.61,,,,
7,10/23/15 12:48:01.927 PM,20.61,,,,
8,10/23/15 12:48:02.927 PM,20.61,,,,
9,10/23/15 12:48:03.927 PM,20.61,,,,
10,10/23/15 12:48:04.927 PM,20.61,,,,
11,10/23/15 12:48:05.927 PM,20.61,,,,
12,10/23/15 12:48:06.927 PM,20.61,,,,
13,10/23/15 12:48:07.927 PM,20.61,,,,
14,10/23/15 12:48:08.927 PM,20.61,,,,
15,10/23/15 12:48:09.927 PM,20.61,,,,
16,10/23/15 12:48:10.927 PM,20.61,,,,
17,10/23/15 12:48:11.927 PM,20.61,,,,
18,10/23/15 12:48:12.927 PM,20.61,,,,
19,10/23/15 12:48:13.927 PM,20.61,,,,
20,10/23/15 12:48:14.927 PM,20.61,,,,
21,10/23/15 12:48:15.927 PM,20.61,,,,
22,10/23/15 12:48:16.927 PM,20.61,,,,
23,10/23/15 12:48:17.927 PM,20.61,,,,
24,10/23/15 12:48:18.927 PM,20.61,,,,
25,10/23/15 12:48:19.927 PM,20.61,,,,
26,10/23/15 12:48:20.927 PM,20.61,,,,
27,10/23/15 12:48:21.927 PM,20.61,,,,
28,10/23/15 12:48:22.927 PM,20.61,,,,
29,10/23/15 12:48:23.927 PM,20.61,,,,
30,10/23/15 12:48:24.927 PM,20.61,,,,
31,10/23/15 12:48:25.927 PM,20.61,,,,
32,10/23/15 12:48:26.927 PM,20.61,,,,
33,10/23/15 12:48:27.927 PM,20.61,,,,
34,10/23/15 12:48:28.927 PM,20.61,,,,
35,10/23/15 12:48:29.927 PM,20.61,,,,
36,10/23/15 12:48:30.927 PM,20.61,,,,
37,10/23/15 12:48:31.927 PM,20.61,,,,
38,10/23/15 12:48:32.927 PM,20.61,,,,
39,10/23/15 12:48:33.927 PM,20.61,,,,
40,10/23/15 12:48:34.927 PM,20.61,,,,
41,10/23/15 12:48:35.927 PM,20.61,,,,
42,10/23/15 12:48:36.927 PM,20.61,,,,
43,10/23/15 12:48:37.927 PM,20.61,,,,
44,10/23/15 12:48:38.927 PM,20.61,,,,
45,10/23/15 12:48:39.927 PM,20.61,,,,
46,10/23/15 12:48:40.927 PM,20.61,,,,
47,10/23/15 12:48:41.927 PM,20.61,,,,
48,10/23/15 12:48:42.927 PM,20.61,,,,
49,10/23/15 12:48:43.927 PM,20.61,,,,
50,10/23/15 12:48:44.927 PM,20.61,,,,
51,10/23/15 12:48:45.927 PM,20.61,,,,
52,10/23/15 12:48:46.927 PM,20.61,,,,
53,10/23/15 12:48:47.927 PM,20.61,,,,
54,10/23/15 12:48:48.927 PM,20.61,,,,
55,10/23/15 12:48:49.927 PM,20.61,,,,
56,10/23/15 12:48:50.927 PM,20.61,,,,
57,10/23/15 12:48:51.927 PM,20.61,,,,
58,10/23/15 12:48:52.927 PM,20.61,,,,
59,10/23/15 12:48:53.927 PM,20.61,,,,
60,10/23/15 12:48:54.927 PM,20.61,,,,
61,10/23/15 12:48:55.927 PM,20.61,,,,
62,10/23/15 12:48:56.927 PM,20.61,,,,
63,10/23/15 12:48:57.927 PM,20.61,,,,
64,10/23/15 12:48:58.927 PM,20.61,,,,
65,10/23/15 12:48:59.927 PM,20.61,,,,
66,10/23/15 12:49:00.927 PM,20.61,,,,
