"Plot Title: 1283022 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/23/15 12:48:49.293 PM,22.29,Logged,,,
2,10/23/15 12:48:50.293 PM,22.29,,,,
3,10/23/15 12:48:51.293 PM,22.29,,,,
4,10/23/15 12:48:52.293 PM,22.29,,,,
5,10/23/15 12:48:53.293 PM,22.29,,,,
6,10/23/15 12:48:54.293 PM,22.29,,,,
7,10/23/15 12:48:55.293 PM,22.29,,,,
8,10/23/15 12:48:56.293 PM,22.29,,,,
9,10/23/15 12:48:57.293 PM,22.63,,,,
10,10/23/15 12:48:58.293 PM,22.63,,,,
11,10/23/15 12:48:59.293 PM,22.63,,,,
12,10/23/15 12:49:00.293 PM,22.29,,,,
13,10/23/15 12:49:01.293 PM,22.29,,,,
14,10/23/15 12:49:02.293 PM,22.29,,,,
15,10/23/15 12:49:03.293 PM,22.29,,,,
16,10/23/15 12:49:04.293 PM,22.29,,,,
17,10/23/15 12:49:05.293 PM,22.29,,,,
18,10/23/15 12:49:06.293 PM,22.63,,,,
19,10/23/15 12:49:07.293 PM,22.29,,,,
20,10/23/15 12:49:08.293 PM,22.29,,,,
21,10/23/15 12:49:09.293 PM,22.29,,,,
22,10/23/15 12:49:10.293 PM,22.63,,,,
23,10/23/15 12:49:11.293 PM,22.63,,,,
24,10/23/15 12:49:12.293 PM,22.63,,,,
25,10/23/15 12:49:13.293 PM,22.63,,,,
26,10/23/15 12:49:14.293 PM,22.29,,,,
27,10/23/15 12:49:15.293 PM,22.29,,,,
28,10/23/15 12:49:16.293 PM,22.29,,,,
29,10/23/15 12:49:17.293 PM,22.63,,,,
30,10/23/15 12:49:18.293 PM,22.29,,,,
31,10/23/15 12:49:19.293 PM,22.29,,,,
32,10/23/15 12:49:20.293 PM,22.29,,,,
33,10/23/15 12:49:21.293 PM,22.63,,,,
34,10/23/15 12:49:22.293 PM,22.63,,,,
35,10/23/15 12:49:23.293 PM,22.29,,,,
36,10/23/15 12:49:24.293 PM,22.29,,,,
37,10/23/15 12:49:25.293 PM,22.29,,,,
38,10/23/15 12:49:26.293 PM,22.63,,,,
39,10/23/15 12:49:27.293 PM,22.29,,,,
40,10/23/15 12:49:28.293 PM,22.29,,,,
41,10/23/15 12:49:29.293 PM,22.63,,,,
42,10/23/15 12:49:30.293 PM,22.29,,,,
