sp.id,sp.cd,lat,lon,ele,area
ec01,ELLO3,36.07029,(-104.33469),,KNG
ec02,ELLO3,,,,KNG
sn01,STNE2,,,,KNG
sn02,STNE2,,,,KNG
ec03,ELLO3,,,,KNG
ec04,ELLO3,,,,KNG
sn03,STNE2,,,,KNG
sn04,STNE2,,,,KNG
sn05,STNE2,,,,KNG
sn06,STNE2,,,,KNG
ec05,ELLO3,,,,KNG
ec06,ELLO3,,,,KNG
ec07,ELLO3,,,,KNG
ec08,ELLO3,,,,KNG
ec09,ELLO3,,,,KNG
ec10,ELLO3,,,,KNG
ec11,ELLO3,,,,KNG
ec12,ELLO3,,,,KNG
ec13,ELLO3,,,,KNG
ec14,ELLO3,,,,KNG
ec15,ELLO3,,,,KNG
ec16,ELLO3,,,,KNG
sn09,ELLO3,,,,KNG
sn10,STNE2,,,,KNG
sn11,STNE2,,,,KNG
sn12,STNE2,,,,KNG
ec17,ELLO3,,,,KNG
ec18,ELLO3,,,,KNG
ec19,ELLO3,,,,KNG
ec20,ELLO3,,,,KNG
ec21,ELLO3,,,,KNG
ec22,ELLO3,,,,KNG
ec23,ELLO3,,,,KNG
ec24,ELLO3,,,,KNG
ec25,ELLO3,,,,KNG
ec26,ELLO3,,,,KNG
ec27,ELLO3,,,,KNG
ec28,ELLO3,,,,KNG
ec29,ELLO3,,,,KNG
ec30,ELLO3,,,,KNG
sn13,STNE2,,,,KNG
sn14,STNE2,,,,KNG
sn15,STNE2,,,,KNG
sn16,STNE2,,,,KNG
sn17,STNE2,,,,KNG
sn18,STNE2,,,,KNG
sn19,STNE2,,,,KNG
sn20,STNE2,,,,KNG
