SP.ID,leaf_thickness1,,,leaf_thickness2,,,leaf_thickness3,,,leaf_area,fresh_mass,dry_mass
AS07,0.1,0.13,0.11,0.16,0.13,0.13,0.11,0.12,0.1,,,
MD17,0.12,0.1,0.18,0.15,0.16,0.11,0.1,0.13,0.1,,,
PC29,0.12,0.12,0.12,0.12,0.1,0.13,0.15,0.16,0.12,,,
PC30,0.14,0.14,0.13,0.14,0.17,0.11,0.15,0.18,0.15,,,
AH15,0.26,0.28,0.3,0.25,0.22,0.25,0.19,0.21,0.19,,,
AH16,0.17,0.13,0.11,0.12,0.13,0.11,0.11,0.12,0.11,,,
EGC13,0.2,0.14,0.18,0.18,19,0.2,0.13,0.13,0.14,,,
EGC14,0.17,0.19,0.12,0.17,0.17,0.17,0.13,0.11,0.12,,,
PC22,0.18,0.12,0.15,0.12,0.12,0.12,0.11,0.11,0.1,,,
OH14,0.28,0.25,0.26,0.28,0.3,0.32,0.21,0.18,0.21,,,
AG02,0.49,0.49,0.4,0.16,0.17,0.24,0.4,0.36,0.44,,,
AH06,0.27,0.2,0.27,0.17,0.19,0.18,0.09,0.1,0.08,,,
AL50,0.11,0.13,0.17,0.12,0.17,0.13,0.13,0.13,0.12,,,
EGC12,0.13,0.1,0.14,0.13,0.16,0.16,0.12,0.1,0.18,,,
PC21,0.21,0.2,0.22,0.17,0.22,0.18,0.12,0.15,0.13,,,
MD08,0.11,0.14,0.13,0.08,0.08,0.11,0.1,0.1,0.11,,,
EC04,0.34,0.3,0.32,0.16,0.17,0.14,0.22,0.24,0.22,,,
AS16,0.23,0.18,0.23,0.35,0.3,0.32,0.24,0.26,0.26,,,
AS15,0.34,0.33,0.28,0.32,0.37,0.35,0.19,0.2,0.21,,,
OH13,0.16,0.15,0.13,0.29,0.32,0.33,0.11,0.09,0.11,,,
AG01,0.26,0.27,0.24,0.33,0.28,0.24,0.25,0.19,0.21,,,
EGC11,0.09,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.13,,,
AH05,0.14,0.16,0.15,0.15,0.14,0.12,0.19,0.17,0.14,,,
EC11,0.19,0.19,0.22,0.22,0.24,0.26,0.24,0.22,0.25,,,
EC12,0.14,0.12,0.19,0.17,0.18,0.19,0.15,0.17,0.19,,,
AL45,0.13,0.11,0.13,0.1,0.11,0.11,0.1,0.09,0.12,,,
OH10,0.24,0.23,0.23,0.1,0.12,0.09,0.23,0.26,0.27,,,
MD11,0.12,0.14,0.13,0.1,0.08,0.09,0.13,0.15,0.14,,,
AL46,0.1,0.12,0.11,0.1,0.1,0.11,0.09,0.1,0.1,,,
AL49,0.08,0.09,0.09,0.1,0.12,0.12,0.08,0.12,0.1,,,
OH09,0.15,0.14,0.14,0.19,0.18,0.19,0.15,0.15,0.14,,,
EC03,0.23,0.25,0.22,0.18,0.2,0.21,0.17,0.17,0.14,,,
EGC14,0.1,0.11,0.08,0.09,0.14,0.14,0.11,0.15,0.09,,,
AH11,0.11,0.13,0.11,0.07,0.09,0.1,0.08,0.08,0.1,,,
EGC05,0.23,0.26,0.25,0.14,0.15,0.16,0.19,0.19,0.17,,,
AG09,0.19,0.22,0.25,0.17,0.18,0.2,0.23,0.23,0.21,,,
OH07,0.24,0.26,0.24,0.26,0.26,0.28,0.2,0.19,0.24,,,
AL44,0.05,0.06,0.06,0.07,0.09,0.06,0.05,0.07,0.08,,,
AL43,0.11,0.13,0.11,0.08,0.08,0.09,0.1,0.1,0.09,,,
MD12,0.06,0.08,0.07,0.09,0.09,0.1,0.07,0.07,0.08,,,
AS08,0.12,0.15,0.14,0.11,0.12,0.14,0.17,0.19,0.15,,,
AG10,0.31,0.26,0.23,0.14,0.2,0.14,0.22,0.17,0.16,,,
MD18,0.09,0.11,0.16,0.07,0.08,0.1,0.1,0.11,0.07,,,
