Sample_ID,area,date,latitude,longitude,elevation,memo
BC01,KNG,7/9/2015,36.06943 ,104.34884 ,1760,"side of road, gravel, next to pine trees"
BC02,KNG,7/9/2015,36.06943 ,104.34884 ,1760,"a heavy rain occurred through afternoon and night, affect field moisture next day"
BC03,KNG,7/9/2015,36.06926 ,104.34885 ,1756,
BC04,KNG,7/9/2015,36.06926 ,104.34885 ,1756,
BC05,KNG,7/9/2015,36.06934 ,104.34902 ,1760,
BC06,KNG,7/9/2015,36.06934 ,104.34902 ,1760,
AL01,KNG,7/10/2015,36.06953 ,104.34936 ,1758,
AL02,KNG,7/10/2015,36.06953 ,104.34936 ,1758,
AL03,KNG,7/10/2015,36.06945 ,104.34937 ,1761,
AL04,KNG,7/10/2015,36.06945 ,104.34937 ,1761,
AL05,KNG,7/10/2015,36.06944 ,104.34930 ,1762,
AL06,KNG,7/10/2015,36.06944 ,104.34930 ,1762,
PC01,KNG,7/10/2015,36.06952 ,104.34865 ,1763,
PC02,KNG,7/10/2015,36.06952 ,104.34865 ,1763,
PC03,KNG,7/10/2015,36.06941 ,104.34883 ,1763,
PC04,KNG,7/10/2015,36.06941 ,104.34883 ,1763,
PC05,KNG,7/10/2015,36.06944 ,104.34884 ,1760,
PC06,KNG,7/10/2015,36.06944 ,104.34884 ,1760,
BC07,KNG,7/10/2015,36.07272 ,104.34487 ,1764,
BC08,KNG,7/10/2015,36.07272 ,104.34487 ,1764,
BC09,KNG,7/10/2015,36.07271 ,104.34486 ,1764,
BC10,KNG,7/10/2015,36.07271 ,104.34486 ,1764,
BC11,KNG,7/10/2015,36.07261 ,104.34489 ,1762,
BC12,KNG,7/10/2015,36.07261 ,104.34489 ,1762,
PC07,KNG,7/10/2015,36.07276 ,104.34489 ,1765,
PC08,KNG,7/10/2015,36.07276 ,104.34489 ,1765,
PC09,KNG,7/10/2015,36.07278 ,104.34489 ,1765,
PC10,KNG,7/10/2015,36.07278 ,104.34489 ,1765,
PC11,KNG,7/10/2015,36.07278 ,104.34489 ,1766,
PC12,KNG,7/10/2015,36.07278 ,104.34489 ,1766,
AL07,KNG,7/10/2015,36.07311 ,104.34527 ,1770,
AL08,KNG,7/10/2015,36.07311 ,104.34527 ,1770,
AL09,KNG,7/10/2015,36.07312 ,104.34526 ,1767,
AL10,KNG,7/10/2015,36.07312 ,104.34526 ,1767,
AL11,KNG,7/10/2015,36.07305 ,104.34529 ,1769,
AL12,KNG,7/10/2015,36.07305 ,104.34529 ,1769,
PC13,KNG,7/10/2015,36.07070 ,104.33501 ,1789,
PC14,KNG,7/10/2015,36.07070 ,104.33501 ,1789,
PC15,KNG,7/10/2015,36.07071 ,104.33501 ,1789,
PC16,KNG,7/10/2015,36.07071 ,104.33501 ,1789,
PC17,KNG,7/10/2015,36.07071 ,104.33505 ,1788,
PC18,KNG,7/10/2015,36.07071 ,104.33505 ,1788,
BC13,KNG,7/10/2015,36.06961 ,104.33514 ,1789,
BC14,KNG,7/10/2015,36.06961 ,104.33514 ,1789,
BC15,KNG,7/10/2015,36.06953 ,104.33512 ,1787,
