time,mass
 2015-10-23 16:51:46,"540	ag08	0.0369830132	6214700.0000000000"
2015-10-23 16:51:47 ,"550	ag08	1.0469450951	6214700.0000000000"
2015-10-23 16:51:48 ,"540	ag08	2.0371229649	6214800.0000000000"
2015-10-23 16:51:49 ,"542	ag08	3.0390169621	6214700.0000000000"
2015-10-23 16:51:50 ,"540	ag08	4.0368669033	6214700.0000000000"
2015-10-23 16:51:51 ,"541	ag08	5.0379409790	6214700.0000000000"
2015-10-23 16:51:52 ,"582	ag08	6.0789639950	6214700.0000000000"
2015-10-23 16:51:53 ,"565	ag08	7.0619719028	6214700.0000000000"
2015-10-23 16:51:54 ,"548	ag08	8.0449719429	6214700.0000000000"
2015-10-23 16:51:55 ,"540	ag08	9.0371210575	6214700.0000000000"
2015-10-23 16:51:56 ,"542	ag08	10.0390160084	6214600.0000000000"
2015-10-23 16:51:57 ,"540	ag08	11.0371201038	6214600.0000000000"
2015-10-23 16:51:58 ,"558	ag08	12.0551309586	6214600.0000000000"
2015-10-23 16:51:59 ,"545	ag08	13.0421249866	6214600.0000000000"
2015-10-23 16:52:00 ,"540	ag08	14.0370690823	6214600.0000000000"
2015-10-23 16:52:01 ,"544	ag08	15.0410969257	6214600.0000000000"
2015-10-23 16:52:02 ,"540	ag08	16.0370941162	6214600.0000000000"
2015-10-23 16:52:03 ,"543	ag08	17.0400929451	6214800.0000000000"
2015-10-23 16:52:04 ,"573	ag08	18.0698580742	6214700.0000000000"
2015-10-23 16:52:05 ,"556	ag08	19.0529839993	6214600.0000000000"
2015-10-23 16:52:06 ,"546	ag08	20.0429110527	6214600.0000000000"
2015-10-23 16:52:07 ,"540	ag08	21.0368840694	6214700.0000000000"
2015-10-23 16:52:08 ,"544	ag08	22.0408840179	6214700.0000000000"
2015-10-23 16:52:09 ,"540	ag08	23.0367910862	6214700.0000000000"
2015-10-23 16:52:10 ,"549	ag08	24.0457899570	6214700.0000000000"
2015-10-23 16:52:11 ,"540	ag08	25.0367910862	6214700.0000000000"
2015-10-23 16:52:12 ,"541	ag08	26.0375990868	6214800.0000000000"
2015-10-23 16:52:13 ,"546	ag08	27.0426890850	6214800.0000000000"
2015-10-23 16:52:14 ,"540	ag08	28.0366101265	6214800.0000000000"
2015-10-23 16:52:15 ,"581	ag08	29.0776000023	6214800.0000000000"
2015-10-23 16:52:16 ,"565	ag08	30.0615539551	6214800.0000000000"
2015-10-23 16:52:17 ,"547	ag08	31.0436799526	6214900.0000000000"
2015-10-23 16:52:18 ,"540	ag08	32.0366890430	6214900.0000000000"
2015-10-23 16:52:19 ,"542	ag08	33.0385980606	6215000.0000000000"
2015-10-23 16:52:20 ,"547	ag08	34.0436151028	6215000.0000000000"
2015-10-23 16:52:21 ,"558	ag08	35.0546250343	6215000.0000000000"
2015-10-23 16:52:22 ,"545	ag08	36.0416691303	6215000.0000000000"
2015-10-23 16:52:23 ,"540	ag08	37.0366380215	6215000.0000000000"
2015-10-23 16:52:24 ,"543	ag08	38.0396339893	6215000.0000000000"
2015-10-23 16:52:25 ,"540	ag08	39.0366249084	6215000.0000000000"
2015-10-23 16:52:26 ,"543	ag08	40.0396239758	6215000.0000000000"
2015-10-23 16:52:27 ,"572	ag08	41.0686559677	6214900.0000000000"
2015-10-23 16:52:28 ,"555	ag08	42.0515739918	6214900.0000000000"
2015-10-23 16:52:29 ,"545	ag08	43.0416009426	6214900.0000000000"
2015-10-23 16:52:30 ,"540	ag08	44.0365700722	6214900.0000000000"
2015-10-23 16:52:31 ,"543	ag08	45.0395479202	6214900.0000000000"
2015-10-23 16:52:32 ,"541	ag08	46.0374939442	6214900.0000000000"
2015-10-23 16:52:33 ,"548	ag08	47.0454409122	6214800.0000000000"
2015-10-23 16:52:34 ,"547	ag08	48.0434570312	6215400.0000000000"
2015-10-23 16:52:35 ,"540	ag08	49.0374150276	6213500.0000000000"
2015-10-23 16:52:36 ,"544	ag08	50.0414340496	6213400.0000000000"
2015-10-23 16:52:37 ,"540	ag08	51.0374131203	6214500.0000000000"
2015-10-23 16:52:38 ,"580	ag08	52.0773141384	6214800.0000000000"
2015-10-23 16:52:39 ,"562	ag08	53.0591630936	6214600.0000000000"
2015-10-23 16:52:40 ,"546	ag08	54.0431969166	6214500.0000000000"
2015-10-23 16:52:41 ,"546	ag08	55.0431849957	6214500.0000000000"
2015-10-23 16:52:42 ,"540	ag08	56.0372059345	6214500.0000000000"
2015-10-23 16:52:43 ,"545	ag08	57.0422849655	6214300.0000000000"
2015-10-23 16:52:44 ,"556	ag08	58.0532081127	6214500.0000000000"
2015-10-23 16:52:45 ,"543	ag08	59.0402610302	6214600.0000000000"
2015-10-23 16:52:46 ,"540	ag08	60.0372841358	6214800.0000000000"
2015-10-23 16:52:47 ,"541	ag08	61.0382590294	6214800.0000000000"
2015-10-23 16:52:48 ,"546	ag08	62.0432610512	6214800.0000000000"
2015-10-23 16:52:49 ,"541	ag08	63.0383141041	6214800.0000000000"
2015-10-23 16:52:50 ,"571	ag08	64.0682609081	6214700.0000000000"
2015-10-23 16:52:51 ,"553	ag08	65.0502331257	6214700.0000000000"
2015-10-23 16:52:52 ,"543	ag08	66.0402600765	6214800.0000000000"
2015-10-23 16:52:53 ,"540	ag08	67.0372090340	6213600.0000000000"
2015-10-23 16:52:54 ,"542	ag08	68.0392389297	6214400.0000000000"
2015-10-23 16:52:55 ,"564	ag08	69.0612239838	6214900.0000000000"
2015-10-23 16:52:56 ,"547	ag08	70.0442011356	6215000.0000000000"
2015-10-23 16:52:57 ,"545	ag08	71.0421929359	6215000.0000000000"
2015-10-23 16:52:58 ,"540	ag08	72.0372099876	6214500.0000000000"
2015-10-23 16:52:59 ,"543	ag08	73.0402090549	6214400.0000000000"
2015-10-23 16:53:00 ,"540	ag08	74.0372099876	6214700.0000000000"
2015-10-23 16:53:01 ,"579	ag08	75.0762081146	6214700.0000000000"
2015-10-23 16:53:02 ,"562	ag08	76.0590109825	6215400.0000000000"
2015-10-23 16:53:03 ,"544	ag08	77.0412359238	6182800.0000000000"
2015-10-23 16:53:04 ,"545	ag08	78.0423400402	6214000.0000000000"
2015-10-23 16:53:05 ,"540	ag08	79.0373399258	6213600.0000000000"
