label,pair,treatment,sp.cd,trial.date,trial.num,temp,humidity,wind.v,start.t,initial.mass,ignition,combustion,smoldering,max.fh,end.t,end.mass,final.mass,fuel.residual
ap01,1,b,ARPU9,6/22/16,15,89.2,39.3,0,14:55,1830.9,3.08,51.64,134.05,90,15:08,,1798.9,4.2
as03,1,b,AGSM,6/22/16,16,89.7,38.6,0,15:10,1806.3,2.38,35.7,53.65,69,15:20,,1794.7,3.9
as07,2,b,AGSM,6/22/16,2,82.8,48.2,0,11:11,1610.5,2.68,22.45,40.18,71,11:19,,1594.7,10
as09,3,b,AGSM,6/22/16,12,87.7,41.3,0,14:07,1796,2.95,42.51,38.53,97,14:16,,1773.8,10.3
as11,4,b,AGSM,6/22/16,19,89.9,37.5,0,15:49,1888.2,2.2,45.27,78.25,115,16:01,,1868.8,2.4
as13,5,b,AGSM,6/22/16,17,89.6,37.9,0,15:22,1804.5,2.8,40.53,98.02,97,15:31,,1790.4,4.4
as15,6,b,AGSM,6/22/16,11,87.4,41.3,0,13:51,1810,5.12,82.3,44.84,100,14:02,,1781.2,7.7
as17,7,b,AGSM,6/22/16,18,90,37.9,0,15:35,1873.3,5.77,62.51,77.27,120,15:46,,1826.3,11.5
as19,8,b,AGSM,6/29/16,25,88.8,38.3,0,17:01,1780.6,2.3,44.75,96.32,98,17:12,,1760.6,4.8
as21,9,b,AGSM,6/29/16,16,87,41.8,0,15:24,1762.9,2.08,48.03,42.08,85,15:33,,1741.2,7.7
as23,10,b,AGSM,6/29/16,12,85.8,45.1,0,14:16,1784.5,4.17,31.63,53.92,98,14:24,,1769.6,4.1
as25,11,b,AGSM,6/29/16,11,85.5,45.4,0,13:58,1824.7,5.48,78.44,216.35,110,14:14,,1789.4,2.7
as27,12,b,AGSM,6/29/16,9,85.4,45.3,0,13:36,1745.5,2.33,51.5,11.06,56,13:44,,1736.7,3.9
as29,13,b,AGSM,6/29/16,15,86.9,43.1,0,14:57,1848.4,2.83,69.12,117.44,115,15:08,,1810.2,3.7
as31,14,b,AGSM,6/29/16,19,87.6,41.6,0,15:49,1741.9,4.88,59.54,64.32,105,15:56,,1712.8,6.3
bi01,1,b,BRINI,6/22/16,9,86.2,43.7,0,13:06,1609.6,N/A,39.44,77.3,67,13:16,,1598.2,3.8
bi04,2,b,BRINI,6/22/16,4,83.8,46.4,0,11:40,1611.4,4.18,49.42,43.21,90,11:48,,1592.7,3.4
bi05,3,b,BRINI,6/22/16,14,89.2,39.6,0,14:38,1839.9,6.33,42.43,101.38,49,14:48,,1826.6,5.6
bi07,4,b,BRINI,6/29/16,20,87.9,41.7,0,15:59,1736.6,2.22,46.45,68.02,95,16:07,,1707.6,5.5
bi09,5,b,BRINI,6/29/16,18,87.4,40.9,0,15:36,1782.5,1.85,51.78,83.47,112,15:46,,1750.6,5
bi11,6,b,BRINI,6/29/16,1,80.3,53.1,0,10:14,1795.6,2.78,54.38,213.38,60,10:29,,1781.6,9
bi13,7,b,BRINI,6/29/16,10,85.2,45.3,0,13:47,1831.5,2.07,43.75,79.32,85,13:56,,1812.6,4.5
bi15,8,b,BRINI,6/29/16,13,86.2,44.6,0,14:28,1849.2,2.32,39.85,56.6,89,14:37,,1830,4
bi17,9,b,BRINI,6/29/16,23,88.3,39.5,0,16:34,1821.8,2.73,62.03,106.24,120,16:45,,1786.9,4.4
bi19,10,b,BRINI,6/29/16,24,88.6,39.4,0,16:47,1818.2,2.6,47.58,110.89,115,16:58,,1777.2,7.8
bi21,11,b,BRINI,6/29/16,17,87.3,41.7,0,15:24,1762.9,2.08,48.03,42.08,85,15:33,,1741.2,7.7
bi23,12,b,BRINI,6/29/16,14,86.4,44.1,0,14:42,1846,1.92,67.35,38.77,110,14:53,,1818.4,4.1
bi25,13,b,BRINI,6/29/16,22,88,39.3,0,16:25,1824.6,3.2,60.67,82.69,118,16:33,,1788.8,2.8
bi27,14,b,BRINI,6/29/16,7,84.8,46.4,0,13:11,1760.1,2.55,54.61,68.67,105,13:21,,1718.7,11.9
bi29,15,b,BRINI,6/29/16,8,85.1,46,0,13:23,1736.4,4.08,69.29,33.22,98,13:33,,1706.1,10.4
ec01,1,b,ELLO3,6/8/16,6,82.2,40.8,0,13:09,1773.2,4.16,26.9,20.28,78,13:24,,1763.7,5.5
ec04,2,b,ELLO3,6/8/16,5,81.7,41.2,0,12:46,1784.5,3.17,47.62,176.94,69,13:07,,1773.6,0.9
ec05,3,b,ELLO3,6/8/16,7,82.6,38,0,13:27,1768.6,2.32,25.51,67.58,84,13:40,,1757.1,2
ec07,4,b,ELLO3,6/8/16,4,81.3,43,0,12:31,1783.8,2.35,72.64,10.05,19,12:43,,1778.8,3.6
ec10,5,b,ELLO3,6/8/16,11,85.6,35,0,15:10,1987.6,2.38,50.13,160.61,126,15:22,,1916,9.2
ec12,6,b,ELLO3,6/8/16,9,83.9,35.9,0,14:14,1838.2,2.33,46.71,490.3,137,14:34,,1772.8,7.2
ec13,7,b,ELLO3,6/8/16,2,79.7,44.4,0,11:52,1793.3,2.38,44.04,76.25,64,12:10,,1780.3,3.2
ec15,8,b,ELLO3,6/8/16,3,80.3,44.3,0,12:13,1840.9,2.05,63.25,110.82,86,12:28,,1818.3,2.7
ec17,9,b,ELLO3,6/15/16,3,86.2,54.7,0,11:46,1888.6,3.36,55.72,76.13,105,11:57,,1860.7,3.3
ec19,10,b,ELLO3,6/15/16,13,93.9,32.5,0,15:06,1828,2.01,34.36,63.77,138,15:20,,1779.9,6.1
ec21,11,b,ELLO3,6/15/16,5,87.7,50.3,0,12:42,1851.9,2.49,41.28,185.63,145,12:33,,1791.5,5.2
ec23,12,b,ELLO3,6/15/16,12,94.3,32.6,0,14:50,1792.9,1.39,34.58,60.62,105,15:01,,1754,11.4
ec26,13,b,ELLO3,6/15/16,6,89.2,46.5,0,12:46,1855.2,1.63,53.98,362.44,120,13:02,,1791.8,5.9
ec27,14,b,ELLO3,6/15/16,4,87.6,50.5,0,12:07,1837.8,3.65,49.32,208.36,82,12:22,,1817.8,3.6
ec29,15,b,ELLO3,6/15/16,1,83.9,59.1,0,10:29,1889.6,3.3,85.14,1174.19,130,11:18,,1857.2,11.8
erc01,1,b,ERCUC4,6/22/16,20,90.4,37.2,0,16:05,1851,1.82,57.48,221.41,150,16:21,,1736.1,12.3
erc03,2,b,ERCUC4,6/22/16,13,88,40.9,0,14:21,1985.1,2.27,58.42,228.11,130,14:33,,1917.6,5
erc05,3,b,ERCUC4,6/22/16,1,80.7,51.1,0,10:21,1452.1,2.53,64.83,1824.93,160,10:58,,1102.5,17.9
erc07,4,b,ERCUC4,6/29/16,2,81.5,52.7,0,10:45,2117.7,1.51,45.28,455.75,181,11:04,,1999.4,10.5
erc09,5,b,ERCUC4,6/29/16,27,89.5,36.2,0,17:29,2424.3,3.31,70.55,581.23,175,17:45,,2240.4,10
erc11,6,b,ERCUC4,6/29/16,21,87.8,41.6,0,16:10,1826.5,0.85,35.38,422.05,130,16:22,,1774.5,4.6
erc13,7,b,ERCUC4,6/29/16,3,82.7,51.5,0,11:11,2034.5,2.17,70.72,586.39,145,11:30,,1925.5,14
erc15,8,b,ERCUC4,6/29/16,28,90,34.4,0,17:48,2016.6,1.33,116.09,820.5,145,18:15,,1848.9,11.4
erc17,9,b,ERCUC4,6/29/16,6,84.6,46.6,0,12:51,1900,2.18,40.13,100.95,135,13:06,,1850.9,3.9
