variable,type,unit,description
label,string,,"unique identification label gave to each specimen by collector, consist of leters and number. Letters indicate initial of species scientific name, may be wrong due to wrong label made in field. Numbers refers to number of total specimens for the species collected by the point. "
pair,string,,"unique string ranges from 1 to 15, indicates corresponding pair number of the specimen"
treatment,string,,"it indicates whether the specimen is used for burn trial or not. 'b' means the specimen is used for burn trial, 'u' means the specimen isn't used for burn trial"
sp.cd,string,,USDA species code 
field.f,numeric,g,fresh mass weight of paried specimen
field.d,numeric,g,"oven-dried mass weight of paired specimen, oven dried at 100 c¡ for 24h"
burn.f,numeric,g,"fresh' mass weight of burn specimen, sample taken right before burn"
burn.d,numeric,g,"oven-dried mass weight of burn specimen, oven dried at 100 c¡ for 24"
tiller.num,numeric,count,"tiller number of each specimen, indicates total numer of tillers each specimen has"
height,numeric,cm,height measured at the highest point of each specimen
height.90,numeric,cm,height measured where 90% biomass concentrated. The cutting point regarding where 90% biomass concentrated is assessed by recorder roughtly
drym.10,numeric,g,oven-dried mass of unburn specimen from ground level to 10cm above ground
wda10.1,numeric,cm,plant width a measured at randomly selected point 1 for 0~10cm height section
wda10.2,numeric,cm,plant width a measured at randomly selected point 2 for 0~10cm section
wda10.3,numeric,cm,plant width a measured at randomly selected point 3 for 0~10cm section
wdb10.1,numeric,cm,"plant width b measured at randomly selected point 1 for 0~10cm section, which is at the same point 1 where width a taken and b is perpendicular to a"
wdb10.2,numeric,cm,"plant width b measured at randomly selected point 2 for 0~10cm section, which is at the same point 2 where width a taken and b is perpendicular to a"
wdb10.3,numeric,cm,"plant width b measured at randomly selected point 3 for 0~10cm section, which is at the same point 3 where width a taken and b is perpendicular to a"
dry.m,numeric,g,oven-dried mass of unburn specimen above 10cm height
wda.1,numeric,cm,plant width a measured at randomly selected point 1 for above 10cm height section
wda.2,numeric,cm,plant width a measured at randomly selected point 2 for above 10cm section
wda.3,numeric,cm,plant width a measured at randomly selected point 3 for above 10cm section
wdb.1,numeric,cm,"plant width b measured at randomly selected point 1 for above 10cm section, which is at the same point 1 where width a taken and b is perpendicular to a"
wdb.2,numeric,cm,"plant width b measured at randomly selected point 2 for above 10cm section, which is at the same point 2 where width a taken and b is perpendicular to a"
wdb.3,numeric,cm,"plant width b measured at randomly selected point 3 for above 10cm section, which is at the same point 3 where width a taken and b is perpendicular to a"
