label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
al01,1,b,ARPUL,14.19,10.9,2.55,2.46,346,45,30,,14.5,17,18.5,6.5,5,4.5,,23.5,22,27,8,9.3,11
al02,1,u,ARPUL,,,,,398,42,30,41.83,14.7,16,16,10.7,10.5,8.5,35.9,16.5,22.5,21.5,8,12,16
al03,2,b,ARPUL,16.38,12.82,,,518,45,31,,13,14,14,4,5.5,6.5,,15,16.5,20,8,8,9
al04,2,u,ARPUL,,,,,616,43,26,41.71,16,15.8,18,10,13,14,44.83,19,19.5,22.5,14.7,14.5,11.5
al05,3,b,ARPUL,16.4,13.04,,,465,47,33,,11,11,11,7,6.5,6.5,,16,20,21,12.5,20,7
al06,3,u,ARPUL,,,,,269,35,24,34.21,15.5,15.5,15,9.2,9,8,10.35,15,17,17.5,7,6.5,7
al07,4,b,ARPUL,7.45,5.35,,,212,45,32,,7,9.4,9.5,6,6,5,,11.5,11,12.5,5,5,6.5
al08,4,u,ARPUL,,,,,176,42,32,10.25,9.5,10,10,3.5,3.4,3.2,11.73,11.2,12.5,19,3.5,3,11
al09,5,b,ARPUL,10.16,7.35,,,254,39,26,,8,7,7,5.5,5.4,5,,10,13,14.5,4.5,5.5,7
al10,5,u,ARPUL,,,,,269,43,24,16.81,11,19,20,7.4,7.3,6,14.14,34,29,27.5,6.5,7,9
al11,6,b,ARPUL,12.15,9.19,,,258,44,29,,7.8,9.5,11,5.5,5.5,6,,14.5,20.5,23,5.5,9.5,10.5
al12,6,u,ARPUL,,,,,333,36,24,23.56,11,17,16,6,4.5,5.5,10.83,15,18,15.5,4.5,5,10
al13,7,b,ARPUL,N/A,N/A,,,166,34,21,,8.5,10.5,15.5,5.5,5.5,6,,19,20,21.5,7,10,12
al14,7,u,ARPUL,,,,,188,35,24,14.11,8.5,12.5,15,4.5,5,5,7.75,16,20,18.5,6,7.5,9
al15,8,b,ARPUL,9.93,7.92,2.42,2.31,323,42,29,,9.3,11.7,11,5.3,5,4,,14.5,17.5,18.5,4,9,9
al16,8,u,ARPUL,,,,,346,49,26,30.99,11,10.5,13.5,7,8.5,7.2,19.2,16,20,21,9,10,7
ap01,1,b,ARPU9,10.35,6.15,1.82,1.73,152,40,25,,12.5,15,12,9.5,10,10,,21,29,34,12,18,19
ap02,1,u,ARPU9,,,,,171,44,29,16.99,11,17,19,8,9,11,13.79,23,30,30,11,21,20
apn01,1,b,PAAN,13.94,4,,,9,70,57,,8,7,7,8,7.5,7.5,,6.5,15,13,6,4,37
apn02,1,u,PAAN,,,,,6,87,68,10.68,9,7,7,4.8,5.3,3.9,25.92,10.4,42,60,12,14,44
apn03,2,b,PAAN,20.96,5.15,,,5,84,63,,7,5,12,4,4.5,7,,40,38,65,18,29,36
apn04,2,u,PAAN,,,,,7,53,41,1.78,4.5,4,5,4,3.5,3.5,6.71,18,29,30,5,29,21.5
apn05,3,b,PAAN,7.74,1.99,,,9,77,68,,9,6,6,3.5,4,5,,15,19,34,15.5,20,45
apn06,3,u,PAAN,,,,,9,57,43,3.7,5,6.5,3.5,3.8,4,9,10.81,3.5,5,64,9,8,44
apn07,4,b,PAAN,8,2.06,,,6,100,76,,6.5,6,6,5.5,4.5,4.5,,42,28.5,40,15.5,11,38
apn08,4,u,PAAN,,,,,8,67,55,4.22,4.5,3.5,5,3.5,4.5,4,14.85,7.5,12,49,5,10,36.5
apn09,5,b,PAAN,10.88,3.07,,,10,100,83,,7.5,4,5,5,5.5,6,,7,30,25,4,22,30
apn10,5,u,PAAN,,,,,8,70,58,6.88,6,4.5,6.9,6,6,4.9,20.57,13.6,20,32,12,10.8,36
apn11,6,b,PAAN,32.09,9.94,,,11,72,60,,8.8,7,4.5,8.5,7.5,5,,7.5,14,71,10.5,17,48
apn12,6,u,PAAN,,,,,13,78,66,11.1,10.5,8.3,9,6.5,4.2,3.5,42.8,43,30,34,7,30,74
apn13,7,b,PAAN,22.69,6,,,15,64,54,,11.5,8,9.5,8.5,8,5.5,,13,26,40,10,13,41
apn14,7,u,PAAN,,,,,13,75,55,4.42,8,6,6,6.5,5.4,6,11.74,11,25,52,11.5,16,53
