label,pair,treatment,sp.cd,leaf.a,dry.m,leaftk.1,leaftk.2,leaftk.3
al01,1,b,ARPUL,7.054,0.06,0.13,0.15,0.13
al01,1,b,ARPUL,,,0.14,0.17,0.19
al01,1,b,ARPUL,,,0.07,0.15,0.13
al03,2,b,ARPUL,4.549,0.05,0.12,0.12,0.13
al03,2,b,ARPUL,,,0.14,0.13,0.11
al03,2,b,ARPUL,,,0.12,0.1,0.14
al05,3,b,ARPUL,5.61,0.06,0.11,0.13,0.1
al05,3,b,ARPUL,,,0.11,0.12,0.05
al05,3,b,ARPUL,,,0.08,0.12,0.1
al07,4,b,ARPUL,5.897,0.06,0.13,0.15,0.1
al07,4,b,ARPUL,,,0.14,0.11,0.11
al07,4,b,ARPUL,,,0.13,0.09,0.08
al09,5,b,ARPUL,4.485,0.06,0.09,0.13,0.12
al09,5,b,ARPUL,,,0.06,0.13,0.11
al09,5,b,ARPUL,,,0.06,0.11,0.06
al11,6,b,ARPUL,5.96,0.05,0.12,0.11,0.1
al11,6,b,ARPUL,,,0.09,0.11,0.08
al11,6,b,ARPUL,,,0.07,0.12,0.09
al13,7,b,ARPUL,6.158,0.07,0.1,0.13,0.21
al13,7,b,ARPUL,,,0.14,0.15,0.23
al13,7,b,ARPUL,,,0.16,0.14,0.2
al15,8,b,ARPUL,5.248,0.05,0.12,0.11,0.12
al15,8,b,ARPUL,,,0.12,0.08,0.11
al15,8,b,ARPUL,,,0.12,0.1,0.11
apn01,1,b,PAAN,60.762,0.38,0.16,0.13,0.12
apn01,1,b,PAAN,,,0.16,0.13,0.13
apn01,1,b,PAAN,,,0.16,0.13,0.11
apn03,2,b,PAAN,44.803,0.16,0.09,0.08,0.09
apn03,2,b,PAAN,,,0.1,0.08,0.1
apn03,2,b,PAAN,,,0.08,0.12,0.11
apn05,3,b,PAAN,41.7,0.18,0.12,0.11,0.1
apn05,3,b,PAAN,,,0.1,0.11,0.09
apn05,3,b,PAAN,,,0.1,0.09,0.09
apn07,4,b,PAAN,53.92,0.2,0.13,0.1,0.09
apn07,4,b,PAAN,,,0.11,0.09,0.12
apn07,4,b,PAAN,,,0.15,0.1,0.11
apn09,5,b,PAAN,43.417,0.19,0.09,0.1,0.11
apn09,5,b,PAAN,,,0.12,0.11,0.11
apn09,5,b,PAAN,,,0.11,0.12,0.11
apn11,6,b,PAAN,25.585,0.15,0.11,0.09,0.11
apn11,6,b,PAAN,,,0.12,0.08,0.08
apn11,6,b,PAAN,,,0.09,0.09,0.09
apn13,7,b,PAAN,37.157,0.16,0.13,0.11,0.11
apn13,7,b,PAAN,,,0.14,0.11,0.1
apn13,7,b,PAAN,,,0.11,0.12,0.1
apn15,8,b,PAAN,42.047,0.2,0.12,0.14,0.11
apn15,8,b,PAAN,,,0.11,0.13,0.11
apn15,8,b,PAAN,,,0.11,0.11,0.14
apn17,9,b,PAAN,38.21,0.13,0.07,0.09,0.08
apn17,9,b,PAAN,,,0.07,0.07,0.09
apn17,9,b,PAAN,,,0.08,0.11,0.09
apn19,10,b,PAAN,34.222,0.11,0.1,0.1,0.11
apn19,10,b,PAAN,,,0.11,0.07,0.11
apn19,10,b,PAAN,,,0.09,0.09,0.11
apn21,11,b,PAAN,29.492,0.1,0.09,0.09,0.09
apn21,11,b,PAAN,,,0.09,0.07,0.08
apn21,11,b,PAAN,,,0.1,0.09,0.07
apn23,12,b,PAAN,38.953,0.12,0.08,0.1,0.09
apn23,12,b,PAAN,,,0.08,0.09,0.1
apn23,12,b,PAAN,,,0.08,0.09,0.09
apn25,13,b,PAAN,46.611,0.22,0.09,0.11,0.11
apn25,13,b,PAAN,,,0.1,0.12,0.11
apn25,13,b,PAAN,,,0.1,0.13,0.13
as03,1,b,AGSM,11.469,0.11,0.25,0.26,0.21
as03,1,b,AGSM,,,0.22,0.26,0.15
as03,1,b,AGSM,,,0.21,0.23,0.12
as07,2,b,AGSM,14.58,0.15,0.33,0.31,0.29
as07,2,b,AGSM,,,0.33,0.25,0.42
as07,2,b,AGSM,,,0.39,0.31,0.42
as09,3,b,AGSM,19.718,0.26,0.33,0.32,0.31
as09,3,b,AGSM,,,0.35,0.37,0.32
as09,3,b,AGSM,,,0.29,0.21,0.2
as11,4,b,AGSM,16.527,0.15,0.3,0.19,0.16
as11,4,b,AGSM,,,0.23,0.25,0.18
as11,4,b,AGSM,,,0.26,0.22,0.22
as13,5,b,AGSM,14.473,0.12,0.3,0.18,0.14
as13,5,b,AGSM,,,0.24,0.23,0.21
as13,5,b,AGSM,,,0.14,0.17,0.16
as15,6,b,AGSM,17.272,0.2,0.3,0.27,0.26
as15,6,b,AGSM,,,0.25,0.25,0.15
as15,6,b,AGSM,,,0.16,0.17,0.13
as17,7,b,AGSM,26.168,0.29,0.33,0.3,0.26
as17,7,b,AGSM,,,0.26,0.22,0.31
as17,7,b,AGSM,,,0.18,0.16,0.22
as19,8,b,AGSM,11.934,0.15,0.2,0.24,0.13
as19,8,b,AGSM,,,0.29,0.28,0.19
as19,8,b,AGSM,,,0.17,0.2,0.21
as21,9,b,AGSM,25.325,0.36,0.42,0.35,0.29
as21,9,b,AGSM,,,0.41,0.25,0.23
as21,9,b,AGSM,,,0.25,0.33,0.19
as23,10,b,AGSM,13.936,0.18,0.28,0.28,0.27
as23,10,b,AGSM,,,0.29,0.29,0.28
as23,10,b,AGSM,,,0.29,0.22,0.21
as25,11,b,AGSM,11.402,0.13,0.24,0.26,0.25
as25,11,b,AGSM,,,0.28,0.26,0.29
as25,11,b,AGSM,,,0.23,0.24,0.27
as27,12,b,AGSM,16.718,0.16,0.27,0.29,0.26
as27,12,b,AGSM,,,0.32,0.3,0.19
as27,12,b,AGSM,,,0.27,0.21,0.3
as29,13,b,AGSM,21.305,0.3,0.26,0.34,0.24
as29,13,b,AGSM,,,0.22,0.32,0.3
as29,13,b,AGSM,,,0.3,0.22,0.35
as31,14,b,AGSM,10.078,0.14,0.2,0.28,0.22
as31,14,b,AGSM,,,0.31,0.32,0.12
