variable,type,unit,description
label,string,,"unique identification label gave to each specimen by collector, consist of leters and number. Letters indicate initial of species scientific name, may be wrong due to wrong label made in field. Numbers refers to number of total specimens for the species collected by the point. "
pair,string,,"unique string ranges from 1 to 15, indicates corresponding pair number of the specimen"
treatment,string,,"it indicates whether the specimen is used for burn trial or not. 'b' means the specimen is used for burn trial, 'u' means the specimen isn't used for burn trial"
sp.cd,string,,USDA species code 
dry.m,numeric,g,oven-dried mass of 5 sampled leaves from each burned specimen
thicka.1,numeric,mm,"thickness a of leaf smaple 1, taken at 3 randomly selected points"
thickb.1,numeric,mm,"thickness b of leaf sample 1, taken at 3 randomly selected points where thickness a taken and perpendicular to a"
thicka.2,numeric,mm,"thickness a of leaf smaple 2, taken at 3 randomly selected points"
thickb.2,numeric,mm,"thickness b of leaf sample 2, taken at 3 randomly selected points where thickness a taken and perpendicular to a"
thicka.3,numeric,mm,"thickness a of leaf smaple 3, taken at 3 randomly selected points"
thickb.3,numeric,mm,"thickness b of leaf sample 3, taken at 3 randomly selected points where thickness a taken and perpendicular to a"
thicka.4,numeric,mm,"thickness a of leaf smaple 4, taken at 3 randomly selected points"
thickb.4,numeric,mm,"thickness b of leaf sample 4, taken at 3 randomly selected points where thickness a taken and perpendicular to a"
thicka.5,numeric,mm,"thickness a of leaf smaple51, taken at 3 randomly selected points"
thickb.5,numeric,mm,"thickness b of leaf sample 5, taken at 3 randomly selected points where thickness a taken and perpendicular to a"
length,numeric,cm,"length of sampled leaves, always in 10cm"
