sp.id,pair,treatment,lat,lon,ele,date,area,
al01,1,b,36.0708,-104.33783,1775,7/15/16,kng,
al02,1,u,36.07068,-104.33804,1774,7/15/16,kng,
al03,2,b,36.07224,-104.34934,1757,7/15/16,kng,
al04,2,u,36.07222,-104.34932,1755,7/15/16,kng,
al05,3,b,36.0724,-104.2858,1809,7/15/16,kng,
al06,3,u,36.07242,-104.2858,1809,7/15/16,kng,
al07,4,b,36.0713,-104.28567,1810,7/16/16,kng,
al08,4,u,36.0713,-104.28567,1809,7/16/16,kng,
al09,5,b,36.07151,-104.28622,1805,7/16/16,kng,
al10,5,u,36.07151,-104.28622,1805,7/16/16,kng,
al11,6,b,36.07128,-104.28413,1810,7/16/16,kng,
al12,6,u,36.07128,-104.28413,1808,7/16/16,kng,
al13,7,b,36.07166,-104.28362,1805,7/16/16,kng,
al14,7,u,36.07162,-104.28364,1808,7/16/16,kng,
al15,8,b,36.07249,-104.28311,1809,7/16/16,kng,
al16,8,u,36.07251,-104.28308,1808,7/16/16,kng,
ap01,1,b,36.30378,-102.91039,1356,6/17/16,kng,
ap02,1,u,36.30379,-102.91039,1357,6/17/16,kng,
apn01,1,b,33.38143,-97.5705,275,7/30/16,lbj,
apn02,1,u,33.38143,-97.57047,271,7/30/16,lbj,
apn03,2,b,33.3801,-97.5706,283,7/30/16,lbj,
apn04,2,u,33.38018,-97.57065,271,7/30/16,lbj,
apn05,3,b,33.37968,-97.57083,272,7/30/16,lbj,
apn06,3,u,33.37967,-97.57085,273,7/30/16,lbj,
apn07,4,b,33.37949,-97.57079,275,7/30/16,lbj,
apn08,4,u,33.37949,-97.57079,289,7/30/16,lbj,
apn09,5,b,33.37933,-97.57078,277,7/30/16,lbj,
apn10,5,u,33.37931,-97.57074,282,7/30/16,lbj,
apn11,6,b,33.37855,-97.57133,275,7/30/16,lbj,
apn12,6,u,33.37856,-97.57133,279,7/30/16,lbj,
apn13,7,b,33.37821,-97.57142,278,7/30/16,lbj,
apn14,7,u,33.3782,-97.57145,274,7/30/16,lbj,
apn15,8,b,33.37794,-97.57181,286,7/30/16,lbj,
apn16,8,u,33.37794,-97.57184,284,7/30/16,lbj,
apn17,9,b,33.37766,-97.57201,278,7/30/16,lbj,
apn18,9,u,33.37769,-97.57201,274,7/30/16,lbj,
apn19,10,b,33.37754,-97.57198,283,7/30/16,lbj,
apn20,10,u,33.37748,-97.57207,278,7/30/16,lbj,
apn21,11,b,33.37589,-97.57426,290,7/30/16,lbj,
apn22,11,u,33.37585,-97.57427,285,7/30/16,lbj,
apn23,12,b,33.3773,-97.5722,274,7/30/16,lbj,
apn24,12,u,33.3773,-97.57218,284,7/30/16,lbj,
apn25,13,b,33.38197,-97.57037,272,7/30/16,lbj,
apn26,13,u,33.38197,-97.57036,272,7/30/16,lbj,
apn27,14,b,33.3816,-97.57031,282,7/30/16,lbj,
apn28,14,u,33.3816,-97.57031,275,7/30/16,lbj,
apn29,15,b,33.3746,-97.57224,282,7/30/16,lbj,
apn30,15,u,33.37455,-97.57228,279,7/30/16,lbj,
apn31,16,b,33.34632,-97.59759,302,7/30/16,lbj,
apn32,16,u,33.34634,-97.59758,302,7/30/16,lbj,
apn33,17,b,33.37171,-97.58795,293,8/6/16,lbj,
apn34,17,u,33.37169,-97.58794,293,8/6/16,lbj,
as03,1,b,35.0851,-102.40156,1210,6/17/16,tcr,
as04,1,u,35.0851,-102.40154,1209,6/17/16,tcr,
as05,2,b,35.0874,-102.40152,1210,6/17/16,tcr,
as06,2,u,35.0874,-102.4015,1210,6/17/16,tcr,
as07,3,b,35.08913,-102.40149,1209,6/17/16,tcr,
as08,3,u,35.08915,-102.4015,1212,6/17/16,tcr,
as09,4,b,35.09082,-102.40151,1213,6/17/16,tcr,
as10,4,u,35.09082,-102.4015,1214,6/17/16,tcr,
as11,5,b,35.09182,-102.4015,1217,6/17/16,tcr,
as12,5,u,35.09185,-102.4015,1217,6/17/16,tcr,
as13,6,b,35.23076,-102.4254,1233,6/17/16,tcr,
as14,6,u,35.23075,-102.4254,1232,6/17/16,tcr,
as15,7,b,35.28968,-102.39718,1221,6/17/16,tcr,
as16,7,u,35.28969,-102.39716,1217,6/17/16,tcr,
as17,8,b,36.32004,-103.6303,1754,6/17/16,cmr,
as18,8,u,36.32004,-103.63037,1755,6/17/16,cmr,
as19,9,b,36.25244,-102.82395,1325,6/24/16,tcr,
as20,9,u,36.25244,-102.82397,1324,6/24/16,tcr,
as21,10,b,36.44647,-103.20043,1531,6/24/16,tcr,
as22,10,u,36.44649,-103.20046,1531,6/24/16,tcr,
as23,11,b,36.40518,-103.28516,1571,6/24/16,cmr,
as24,11,u,36.40519,-103.28516,1573,6/24/16,cmr,
as25,12,b,36.40318,-103.28921,1569,6/24/16,cmr,
as26,12,u,36.40319,-103.28922,1569,6/24/16,cmr,
as27,13,b,36.37925,-103.41824,1645,6/24/16,cmr,
as28,13,u,36.37925,-103.41825,1646,6/24/16,cmr,
as29,14,b,36.37774,-103.42209,1650,6/24/16,cmr,
as30,14,u,36.37775,-103.4221,1650,6/24/16,cmr,
as31,15,b,36.34877,-103.48199,1634,6/24/16,kng,
as32,15,u,36.34977,-103.48199,1634,6/24/16,kng,
as33,16,b,35.86903,-104.09248,1730,7/8/16,kng,
as34,16,u,35.86903,-104.09247,1728,7/8/16,kng,
bi01,1,b,36.30521,-104.07066,1849,6/17/16,kng,
bi02,1,u,36.30523,-104.07067,1848,6/17/16,kng,
bi03,2,u,36.3052,-104.07861,1860,6/17/16,kng,
bi04,2,b,36.30521,-104.07861,1860,6/17/16,kng,
bi05,3,b,36.3052,-104.08105,1858,6/17/16,kng,
bi06,3,u,36.30519,-104.08102,1857,6/17/16,kng,
bi07,4,b,36.30488,-103.81266,1755,6/24/16,cmr,
bi08,4,u,36.30489,-103.81266,1752,6/24/16,cmr,
bi09,5,b,36.30477,-103.84547,1757,6/24/16,cmr,
bi10,5,u,36.30479,-103.84546,1756,6/24/16,kng,
bi11,6,b,36.30521,-104.0056,1813,6/24/16,kng,
bi12,6,u,36.30522,-104.0056,1813,6/24/16,kng,
bi13,7,b,36.30537,-104.02013,1818,6/24/16,kng,
bi14,7,u,36.30537,-104.02013,1817,6/24/16,kng,
bi15,8,b,36.30523,104.06076,1842,6/24/16,kng,
bi16,8,u,36.30524,-104.06075,1842,6/24/16,kng,
bi17,9,b,36.30518,-104.09655,1869,6/24/16,kng,
bi18,9,u,36.30518,-104.09655,1868,6/24/16,kng,
bi19,10,b,36.30547,-104.11983,1882,6/24/16,kng,
bi20,10,u,36.30547,-104.11979,1882,6/24/16,kng,
bi21,11,b,36.30545,-104.12852,1888,6/24/16,kng,
bi22,11,u,36.30548,-104.12855,1889,6/24/16,kng,
bi23,12,b,36.30546,-104.1294,1888,6/24/16,kng,
bi24,12,u,36.30546,-104.12942,1888,6/24/16,kng,
bi25,13,b,36.30544,-104.13042,1888,6/24/16,kng,
bi26,13,u,36.30545,-104.13036,1887,6/24/16,kng,
bi27,14,b,36.30548,-104.15867,1908,6/24/16,kng,
bi28,14,u,36.30549,-104.15867,1908,6/24/16,kng,
bi29,15,b,36.30548,-104.15974,1909,6/24/16,kng,
bi30,15,u,36.30548,-104.15973,1911,6/24/16,kng,
bi31,16,b,36.18329,-104.09586,1906,6/24/16,kng,
bi32,16,u,36.18329,-104.09587,1905,6/24/16,kng,
bi33,17,b,36.3054,-104.16938,1915,7/8/16,kng,
bi34,17,u,36.30541,-104.16939,1915,7/8/16,kng,
cs01,1,b,33.34591,-97.59679,297,7/23/16,lbj,
cs02,1,u,33.34589,-97.59681,298,7/23/16,lbj,
cs03,2,b,33.3462,-97.59752,300,7/23/16,lbj,
cs04,2,u,33.34621,-97.59753,304,7/23/16,lbj,
cs05,3,b,33.34655,-97.5974,303,7/23/16,lbj,
cs06,3,u,33.34658,-97.59747,307,7/23/16,lbj,
cs07,4,b,33.34634,-97.597,289,7/24/16,lbj,
cs08,4,u,33.34633,-97.59699,296,7/24/16,lbj,
cs09,5,b,33.35743,-97.58018,313,7/24/16,lbj,
cs10,5,u,33.3574,-97.58016,308,7/24/16,lbj,
cs11,6,b,33.38196,-97.57043,270,7/24/16,lbj,
cs12,6,u,33.38196,-97.57043,273,7/24/16,lbj,
cs13,7,b,33.38118,-97.57047,275,7/24/16,lbj,
cs14,7,u,33.38116,-97.57049,281,7/24/16,lbj,
cs15,8,b,33.38095,-97.57034,272,7/24/16,lbj,
cs16,8,u,33.38097,-97.57035,276,7/24/16,lbj,
cs17,9,b,33.38069,-97.57055,277,7/24/16,lbj,
cs18,9,u,33.38072,-97.57054,271,7/24/16,lbj,
cs19,10,b,33.3804,-97.57059,276,7/24/16,lbj,
cs20,10,u,33.38039,-97.57059,272,7/24/16,lbj,
cs23,11,b,33.38017,-97.57055,276,7/24/16,lbj,
cs24,11,u,33.38021,-97.57054,278,7/24/16,lbj,
cs25,12,b,33.37994,-97.57085,275,7/24/16,lbj,
cs26,12,u,33.37994,-97.57085,273,7/24/16,lbj,
cs27,13,b,33.37947,-97.57088,277,7/24/16,lbj,
cs28,13,u,33.37948,-97.57088,273,7/24/16,lbj,
cs29,14,b,33.38801,-97.57378,268,7/24/16,lbj,
cs30,14,u,33.38798,-97.57377,278,7/24/16,lbj,
cs31,15,b,33.38832,-97.57384,277,7/24/16,lbj,
cs32,15,u,33.38836,-97.57384,270,7/24/16,lbj,
cs33,16,b,33.3814,-97.57042,275,7/30/16,lbj,
cs34,16,u,33.38139,-97.5704,273,7/30/16,lbj,
cs35,17,b,33.37785,-97.57131,289,7/30/16,lbj,
cs36,17,u,33.37779,-97.57135,276,7/30/16,lbj,
cs37,18,b,33.37571,-97.57444,287,7/30/16,lbj,
cs38,18,u,33.37569,-97.57449,279,7/30/16,lbj,
cs39,19,b,33.38189,-97.57014,272,7/30/16,lbj,
cs40,19,u,33.38188,-97.57013,276,7/30/16,lbj,
cs41,20,b,33.38155,-97.5702,274,7/30/16,lbj,
cs42,20,u,33.38155,-97.57018,275,7/30/16,lbj,
cs43,21,b,33.38165,-97.57049,277,7/30/16,lbj,
cs44,21,u,33.38161,-97.57046,273,7/30/16,lbj,
cs45,22,b,33.3802,-97.57036,272,8/5/16,lbj,
cs46,22,u,33.3802,-97.57038,268,8/5/16,lbj,
cs47,23,b,33.37448,-97.57256,282,8/5/16,lbj,
cs48,23,u,33.37453,-97.5726,273,8/5/16,lbj,
cs49,24,b,33.37395,-97.58558,298,8/6/16,lbj,
cs50,24,u,33.37397,-97.58553,293,8/6/16,lbj,
cs51,25,b,33.38161,-97.57072,275,8/6/16,lbj,
cs52,25,u,33.38161,-97.57074,278,8/6/16,lbj,
ec01,1,b,36.07029,-104.33469,1790,6/4/16,kng,
ec02,1,u,36.07033,-104.33476,1789,6/4/16,kng,
ec03,2,u,36.06759,-104.34126,1786,6/4/16,kng,
ec04,2,b,36.06759,-104.34126,1787,6/4/16,kng,
ec05,3,b,36.06904,-104.34201,1784,6/4/16,kng,
ec06,3,u,36.06904,-104.34197,1786,6/4/16,kng,
ec07,4,b,36.06667,-104.33984,1786,6/4/16,kng,
ec08,4,u,36.06667,-104.33988,1788,6/4/16,kng,
