sp.id,sp.cd,dry.m,thicka.1,thickb.1,thicka.2,thickb.2,thicka.3,thickb.3,thicka.4,thickb.4,thicka.5,thickb.5,length
sn02,STNE2,0.09,0.36,0.54,0.53,0.68,0.68,0.82,0.62,0.43,0.44,0.66,10
sn02,STNE2,,0.43,0.58,0.44,0.52,0.61,0.87,0.5,0.76,0.5,0.7,10
sn02,STNE2,,0.4,0.66,0.43,0.59,0.67,0.88,0.47,0.64,0.57,0.83,10
sn05,STNE2,0.08,0.53,0.67,0.29,0.44,0.55,0.76,0.5,0.36,0.45,0.51,10
sn05,STNE2,,0.85,0.42,0.51,0.55,0.68,0.68,0.54,0.42,0.45,0.47,10
sn05,STNE2,,0.54,0.83,0.48,0.55,0.61,0.62,0.51,0.39,0.55,0.6,10
sn03,STNE2,0.09,0.59,0.56,0.79,0.7,0.47,0.67,0.46,0.35,0.68,0.55,10
sn03,STNE2,,0.45,0.7,0.67,0.55,0.9,0.53,0.57,0.47,0.63,0.71,10
sn03,STNE2,,0.44,0.66,0.61,0.7,0.78,0.61,0.46,0.54,0.56,0.8,10
sn19,STNE2,0.11,0.62,0.85,0.63,0.79,0.53,0.85,0.74,0.93,0.62,0.99,10
sn19,STNE2,,0.72,0.86,0.67,0.7,0.66,0.79,0.7,1.04,0.71,0.88,10
sn19,STNE2,,0.62,0.79,0.63,0.75,0.67,0.84,0.83,1.03,0.68,0.97,10
sn15,STNE2,0.12,0.79,0.9,0.74,0.75,0.89,0.77,0.68,0.6,0.89,0.78,10
sn15,STNE2,,0.77,1.1,0.57,0.88,0.82,0.9,0.64,0.74,0.8,1.01,10
sn15,STNE2,,0.73,1.07,0.58,0.88,0.97,0.72,0.63,0.65,0.88,1.06,10
sn09,STNE2,0.13,0.83,1.14,0.62,0.8,0.56,0.7,0.88,0.99,0.73,0.57,10
sn09,STNE2,,0.93,1.01,0.67,0.86,0.59,0.72,0.87,1.01,0.75,0.81,10
sn09,STNE2,,0.89,1.02,0.82,0.78,0.68,0.54,0.88,0.84,0.69,0.89,10
sn13,STNE2,0.12,0.82,0.63,0.89,0.58,0.81,0.78,0.61,0.74,0.56,0.7,10
sn13,STNE2,,0.81,0.72,0.64,0.98,0.74,0.94,0.6,0.84,0.6,0.87,10
sn13,STNE2,,0.79,0.73,0.61,0.95,0.73,1.01,0.64,0.8,0.69,0.72,10
sn17,STNE2,0.09,0.63,0.7,0.64,0.59,0.54,0.72,0.63,0.77,0.68,0.69,10
sn17,STNE2,,0.63,0.85,0.66,0.59,0.59,0.71,0.68,0.83,0.67,0.72,10
sn17,STNE2,,0.51,0.71,0.59,0.54,0.58,0.74,0.61,0.52,0.51,0.58,10
sn11,STNE2,0.12,0.78,0.69,0.77,0.7,0.74,0.68,0.91,0.79,0.74,0.77,10
sn11,STNE2,,0.83,0.63,0.7,0.92,0.6,0.84,0.77,0.9,0.8,0.73,10
sn11,STNE2,,0.62,0.7,0.79,0.69,0.71,0.74,0.75,0.96,0.78,0.97,10
