variable,type,unit,description
Sample_ID,string,,initial of scientific name of each species before sample number
Height_90%mass,numeric,cm,height of each sample measured at the boundary where 90% biomass concentrates
Height_point,numeric,cm,height of each sample measured at the highest point of each sample
Width_1,numeric,cm,"width measurements of each sample measured at 5 evenly spaced points along height, first measurement"
Width_2, numeric,cm," width measurements of each sample measured at 5 evenly spaced points along height, second measurement"
Width_3,numeric,cm,"width measurements of each sample measured at 5 evenly spaced points along the height, third measurement"
Width_4,numeric,cm,"width measurements of each sample measured at 5 evenly spaced points along height, fourth measurement"
Width_5,numeric,cm,"width measurements of each sample measured at 5 evely spaced points along height,fifth measurement"
tiller_number,numeric,,number of tiller of each sample
basal_area,numeric,cm^2,area of grass base of each sample
