time,mass
2015-10-23 13:18:39 ,"652	eg06	0.0431141853	5951800.0000000000"
2015-10-23 13:18:40 ,"682	eg06	1.0731530190	5951800.0000000000"
2015-10-23 13:18:41 ,"664	eg06	2.0550460815	5951800.0000000000"
2015-10-23 13:18:42 ,"647	eg06	3.0381631851	5951800.0000000000"
2015-10-23 13:18:43 ,"648	eg06	4.0390281677	5951700.0000000000"
2015-10-23 13:18:44 ,"646	eg06	5.0370280743	5951700.0000000000"
2015-10-23 13:18:45 ,"647	eg06	6.0380029678	5951700.0000000000"
2015-10-23 13:18:46 ,"662	eg06	7.0528981686	5951700.0000000000"
2015-10-23 13:18:47 ,"646	eg06	8.0370311737	5951600.0000000000"
2015-10-23 13:18:48 ,"650	eg06	9.0410280228	5951700.0000000000"
2015-10-23 13:18:49 ,"646	eg06	10.0370550156	5951800.0000000000"
2015-10-23 13:18:50 ,"648	eg06	11.0389649868	5951600.0000000000"
2015-10-23 13:18:51 ,"646	eg06	12.0369391441	5951100.0000000000"
2015-10-23 13:18:52 ,"673	eg06	13.0638380051	5951300.0000000000"
2015-10-23 13:18:53 ,"656	eg06	14.0468611717	5951500.0000000000"
2015-10-23 13:18:54 ,"646	eg06	15.0368402004	5951600.0000000000"
2015-10-23 13:18:55 ,"649	eg06	16.0408360958	5951700.0000000000"
2015-10-23 13:18:56 ,"646	eg06	17.0369169712	5951700.0000000000"
2015-10-23 13:18:57 ,"666	eg06	18.0568630695	5951800.0000000000"
2015-10-23 13:18:58 ,"649	eg06	19.0398440361	5951700.0000000000"
2015-10-23 13:18:59 ,"646	eg06	20.0378131866	5951600.0000000000"
2015-10-23 13:19:00 ,"651	eg06	21.0427501202	5951600.0000000000"
2015-10-23 13:19:01 ,"645	eg06	22.0366780758	5951500.0000000000"
2015-10-23 13:19:02 ,"650	eg06	23.0416049957	5951400.0000000000"
2015-10-23 13:19:03 ,"680	eg06	24.0715961456	5951400.0000000000"
2015-10-23 13:19:04 ,"663	eg06	25.0544321537	5951400.0000000000"
2015-10-23 13:19:05 ,"646	eg06	26.0376050472	5951400.0000000000"
2015-10-23 13:19:06 ,"646	eg06	27.0375761986	5951300.0000000000"
2015-10-23 13:19:07 ,"651	eg06	28.0425751209	5951400.0000000000"
2015-10-23 13:19:08 ,"646	eg06	29.0373940468	5951400.0000000000"
2015-10-23 13:19:09 ,"656	eg06	30.0473701954	5951300.0000000000"
2015-10-23 13:19:10 ,"646	eg06	31.0373721123	5951300.0000000000"
2015-10-23 13:19:11 ,"648	eg06	32.0393311977	5951400.0000000000"
2015-10-23 13:19:12 ,"646	eg06	33.0371551514	5951400.0000000000"
2015-10-23 13:19:13 ,"647	eg06	34.0381560326	5951400.0000000000"
2015-10-23 13:19:14 ,"689	eg06	35.0800740719	5951400.0000000000"
2015-10-23 13:19:15 ,"672	eg06	36.0631251335	5951400.0000000000"
2015-10-23 13:19:16 ,"654	eg06	37.0451440811	5951300.0000000000"
2015-10-23 13:19:17 ,"646	eg06	38.0371611118	5951300.0000000000"
2015-10-23 13:19:18 ,"649	eg06	39.0400321484	5951300.0000000000"
2015-10-23 13:19:19 ,"646	eg06	40.0370190144	5950900.0000000000"
2015-10-23 13:19:20 ,"669	eg06	41.0599400997	5951200.0000000000"
2015-10-23 13:19:21 ,"652	eg06	42.0429739952	5951200.0000000000"
2015-10-23 13:19:22 ,"646	eg06	43.0369420052	5951400.0000000000"
2015-10-23 13:19:23 ,"651	eg06	44.0419220924	5951500.0000000000"
2015-10-23 13:19:24 ,"646	eg06	45.0369560719	5951300.0000000000"
2015-10-23 13:19:25 ,"650	eg06	46.0410490036	5951200.0000000000"
2015-10-23 13:19:26 ,"679	eg06	47.0700480938	5950900.0000000000"
