time,mass
2016-06-08 11:53:26,"133	ec13	0.0486209393	2323890.0000000000"
2016-06-08 11:53:27,"122	ec13	1.0378079414	2323900.0000000000"
2016-06-08 11:53:28,"125	ec13	2.0409748554	2323780.0000000000"
2016-06-08 11:53:29,"121	ec13	3.0371320248	2323660.0000000000"
2016-06-08 11:53:30,"123	ec13	4.0392510891	2323640.0000000000"
2016-06-08 11:53:31,"121	ec13	5.0373759270	2323600.0000000000"
2016-06-08 11:53:32,"148	ec13	6.0643260479	2323180.0000000000"
2016-06-08 11:53:33,"132	ec13	7.0477519035	2323150.0000000000"
2016-06-08 11:53:34,"121	ec13	8.0368280411	2323570.0000000000"
2016-06-08 11:53:35,"125	ec13	9.0409810543	2323800.0000000000"
2016-06-08 11:53:36,"121	ec13	10.0371749401	2323510.0000000000"
2016-06-08 11:53:37,"142	ec13	11.0583059788	2323070.0000000000"
2016-06-08 11:53:38,"125	ec13	12.0405039787	2323490.0000000000"
2016-06-08 11:53:39,"123	ec13	13.0387098789	2323590.0000000000"
2016-06-08 11:53:40,"128	ec13	14.0438919067	2322300.0000000000"
2016-06-08 11:53:41,"121	ec13	15.0370419025	2321920.0000000000"
2016-06-08 11:53:42,"126	ec13	16.0421879292	2322100.0000000000"
2016-06-08 11:53:43,"157	ec13	17.0733790398	2322530.0000000000"
2016-06-08 11:53:44,"140	ec13	18.0555498600	2322200.0000000000"
2016-06-08 11:53:45,"123	ec13	19.0387270451	2322230.0000000000"
2016-06-08 11:53:46,"123	ec13	20.0389008522	2322440.0000000000"
2016-06-08 11:53:47,"121	ec13	21.0371260643	2322410.0000000000"
2016-06-08 11:53:48,"122	ec13	22.0383579731	2322410.0000000000"
2016-06-08 11:53:49,"134	ec13	23.0494279861	2322410.0000000000"
2016-06-08 11:53:50,"122	ec13	24.0374710560	2322420.0000000000"
2016-06-08 11:53:51,"126	ec13	25.0417320728	2322490.0000000000"
2016-06-08 11:53:52,"121	ec13	26.0368149281	2322510.0000000000"
2016-06-08 11:53:53,"124	ec13	27.0399789810	2322240.0000000000"
2016-06-08 11:53:54,"121	ec13	28.0372049809	2322160.0000000000"
2016-06-08 11:53:55,"148	ec13	29.0643780231	2323250.0000000000"
2016-06-08 11:53:56,"132	ec13	30.0475618839	2325350.0000000000"
2016-06-08 11:53:57,"122	ec13	31.0377349854	2324210.0000000000"
2016-06-08 11:53:58,"126	ec13	32.0417819023	2323870.0000000000"
2016-06-08 11:53:59,"121	ec13	33.0369589329	2323420.0000000000"
2016-06-08 11:54:00,"142	ec13	34.0581619740	2323180.0000000000"
2016-06-08 11:54:01,"125	ec13	35.0412988663	2322630.0000000000"
2016-06-08 11:54:02,"123	ec13	36.0393979549	2322270.0000000000"
