time,mass
2016-06-15 13:23:02,"437	sn13	0.0377571583	2659440.0000000000"
2016-06-15 13:23:03,"437	sn13	1.0376060009	2659390.0000000000"
2016-06-15 13:23:04,"442	sn13	2.0425050259	2659490.0000000000"
2016-06-15 13:23:05,"438	sn13	3.0384120941	2659550.0000000000"
2016-06-15 13:23:06,"477	sn13	4.0783619881	2654790.0000000000"
2016-06-15 13:23:07,"460	sn13	5.0612490177	2653380.0000000000"
2016-06-15 13:23:08,"443	sn13	6.0442340374	2654880.0000000000"
2016-06-15 13:23:09,"436	sn13	7.0371530056	2654950.0000000000"
2016-06-15 13:23:10,"438	sn13	8.0390110016	2655010.0000000000"
2016-06-15 13:23:11,"443	sn13	9.0438940525	2655010.0000000000"
2016-06-15 13:23:12,"454	sn13	10.0548069477	2655000.0000000000"
2016-06-15 13:23:13,"441	sn13	11.0417470932	2655050.0000000000"
2016-06-15 13:23:14,"436	sn13	12.0365791321	2655570.0000000000"
2016-06-15 13:23:15,"440	sn13	13.0404801369	2655970.0000000000"
2016-06-15 13:23:16,"436	sn13	14.0373070240	2655560.0000000000"
2016-06-15 13:23:17,"439	sn13	15.0402579308	2655390.0000000000"
2016-06-15 13:23:18,"468	sn13	16.0692570210	2655950.0000000000"
2016-06-15 13:23:19,"452	sn13	17.0531649590	2654640.0000000000"
2016-06-15 13:23:20,"442	sn13	18.0429811478	2654650.0000000000"
2016-06-15 13:23:21,"436	sn13	19.0369319916	2654960.0000000000"
2016-06-15 13:23:22,"440	sn13	20.0408339500	2654940.0000000000"
2016-06-15 13:23:23,"436	sn13	21.0367319584	2654890.0000000000"
2016-06-15 13:23:24,"446	sn13	22.0465459824	2654870.0000000000"
2016-06-15 13:23:25,"437	sn13	23.0374341011	2655100.0000000000"
2016-06-15 13:23:26,"438	sn13	24.0384140015	2655340.0000000000"
2016-06-15 13:23:27,"442	sn13	25.0433099270	2655500.0000000000"
2016-06-15 13:23:28,"437	sn13	26.0381100178	2655590.0000000000"
2016-06-15 13:23:29,"478	sn13	27.0789670944	2655630.0000000000"
2016-06-15 13:23:30,"461	sn13	28.0618431568	2655840.0000000000"
2016-06-15 13:23:31,"444	sn13	29.0446810722	2655900.0000000000"
2016-06-15 13:23:32,"436	sn13	30.0364921093	2655960.0000000000"
2016-06-15 13:23:33,"438	sn13	31.0384631157	2655980.0000000000"
2016-06-15 13:23:34,"443	sn13	32.0442581177	2655860.0000000000"
2016-06-15 13:23:35,"454	sn13	33.0551810265	2655900.0000000000"
2016-06-15 13:23:36,"441	sn13	34.0421340466	2656010.0000000000"
2016-06-15 13:23:37,"436	sn13	35.0370819569	2655710.0000000000"
2016-06-15 13:23:38,"440	sn13	36.0410571098	2655770.0000000000"
2016-06-15 13:23:39,"436	sn13	37.0369830132	2655660.0000000000"
2016-06-15 13:23:40,"439	sn13	38.0399351120	2655510.0000000000"
2016-06-15 13:23:41,"469	sn13	39.0698380470	2655550.0000000000"
2016-06-15 13:23:42,"452	sn13	40.0527200699	2655560.0000000000"
2016-06-15 13:23:43,"442	sn13	41.0426840782	2655570.0000000000"
2016-06-15 13:23:44,"436	sn13	42.0364699364	2655560.0000000000"
2016-06-15 13:23:45,"441	sn13	43.0414400101	2655650.0000000000"
2016-06-15 13:23:46,"436	sn13	44.0373630524	2655550.0000000000"
2016-06-15 13:23:47,"445	sn13	45.0462880135	2655430.0000000000"
2016-06-15 13:23:48,"437	sn13	46.0381109715	2655210.0000000000"
2016-06-15 13:23:49,"438	sn13	47.0390119553	2655190.0000000000"
2016-06-15 13:23:50,"443	sn13	48.0439839363	2654990.0000000000"
2016-06-15 13:23:51,"437	sn13	49.0378379822	2655170.0000000000"
2016-06-15 13:23:52,"479	sn13	50.0796229839	2655020.0000000000"
2016-06-15 13:23:53,"462	sn13	51.0625309944	2654740.0000000000"
2016-06-15 13:23:54,"445	sn13	52.0453810692	2660380.0000000000"
2016-06-15 13:23:55,"438	sn13	53.0383789539	2656470.0000000000"
2016-06-15 13:23:56,"438	sn13	54.0392611027	2650200.0000000000"
2016-06-15 13:23:57,"436	sn13	55.0371339321	2650860.0000000000"
2016-06-15 13:23:58,"454	sn13	56.0550270081	2652030.0000000000"
2016-06-15 13:23:59,"442	sn13	57.0428929329	2651560.0000000000"
2016-06-15 13:24:00,"436	sn13	58.0368361473	2649850.0000000000"
2016-06-15 13:24:01,"441	sn13	59.0418610573	2648610.0000000000"
2016-06-15 13:24:02,"436	sn13	60.0366859436	2650520.0000000000"
2016-06-15 13:24:03,"440	sn13	61.0405950546	2650540.0000000000"
2016-06-15 13:24:04,"470	sn13	62.0705590248	2651670.0000000000"
2016-06-15 13:24:05,"453	sn13	63.0534789562	2651380.0000000000"
2016-06-15 13:24:06,"443	sn13	64.0434639454	2650990.0000000000"
2016-06-15 13:24:07,"436	sn13	65.0373599529	2650190.0000000000"
2016-06-15 13:24:08,"441	sn13	66.0422141552	2647600.0000000000"
2016-06-15 13:24:09,"436	sn13	67.0371360779	2643320.0000000000"
2016-06-15 13:24:10,"446	sn13	68.0470600128	2641170.0000000000"
