time,mass
2016-06-22 14:56:21,"950	ap01	0.0376501083	2249030.0000000000"
2016-06-22 14:56:22,"955	ap01	1.0429441929	2249040.0000000000"
2016-06-22 14:56:23,"986	ap01	2.0732500553	2249040.0000000000"
2016-06-22 14:56:24,"968	ap01	3.0555250645	2249170.0000000000"
2016-06-22 14:56:25,"951	ap01	4.0387971401	2249390.0000000000"
2016-06-22 14:56:26,"952	ap01	5.0390729904	2249280.0000000000"
2016-06-22 14:56:27,"950	ap01	6.0373241901	2249220.0000000000"
2016-06-22 14:56:28,"951	ap01	7.0385980606	2249160.0000000000"
2016-06-22 14:56:29,"961	ap01	8.0489821434	2249600.0000000000"
2016-06-22 14:56:30,"950	ap01	9.0371060371	2249430.0000000000"
2016-06-22 14:56:31,"954	ap01	10.0414550304	2249220.0000000000"
2016-06-22 14:56:32,"950	ap01	11.0376751423	2249390.0000000000"
2016-06-22 14:56:33,"952	ap01	12.0400149822	2249320.0000000000"
2016-06-22 14:56:34,"950	ap01	13.0373001099	2249180.0000000000"
2016-06-22 14:56:35,"978	ap01	14.0655012131	2249210.0000000000"
2016-06-22 14:56:36,"959	ap01	15.0467991829	2249020.0000000000"
2016-06-22 14:56:37,"950	ap01	16.0370349884	2248980.0000000000"
2016-06-22 14:56:38,"954	ap01	17.0411961079	2249140.0000000000"
2016-06-22 14:56:39,"950	ap01	18.0375261307	2249470.0000000000"
2016-06-22 14:56:40,"970	ap01	19.0578520298	2248730.0000000000"
2016-06-22 14:56:41,"954	ap01	20.0411241055	2249250.0000000000"
2016-06-22 14:56:42,"952	ap01	21.0393490791	2249020.0000000000"
2016-06-22 14:56:43,"956	ap01	22.0435280800	2248550.0000000000"
2016-06-22 14:56:44,"950	ap01	23.0379350185	2248670.0000000000"
2016-06-22 14:56:45,"956	ap01	24.0431451797	2247500.0000000000"
2016-06-22 14:56:46,"985	ap01	25.0725271702	2247000.0000000000"
2016-06-22 14:56:47,"968	ap01	26.0559511185	2244600.0000000000"
2016-06-22 14:56:48,"951	ap01	27.0382502079	2247110.0000000000"
2016-06-22 14:56:49,"952	ap01	28.0395510197	2246010.0000000000"
2016-06-22 14:56:50,"950	ap01	29.0378541946	2247280.0000000000"
2016-06-22 14:56:51,"951	ap01	30.0381121635	2248210.0000000000"
2016-06-22 14:56:52,"962	ap01	31.0493991375	2248130.0000000000"
2016-06-22 14:56:53,"950	ap01	32.0377011299	2247240.0000000000"
2016-06-22 14:56:54,"954	ap01	33.0419521332	2247840.0000000000"
2016-06-22 14:56:55,"950	ap01	34.0372531414	2248740.0000000000"
2016-06-22 14:56:56,"953	ap01	35.0405571461	2248300.0000000000"
2016-06-22 14:56:57,"949	ap01	36.0368340015	2247980.0000000000"
2016-06-22 14:56:58,"978	ap01	37.0650420189	2248790.0000000000"
2016-06-22 14:56:59,"961	ap01	38.0483891964	2248800.0000000000"
2016-06-22 14:57:00,"950	ap01	39.0377540588	2247800.0000000000"
2016-06-22 14:57:01,"954	ap01	40.0420141220	2249120.0000000000"
2016-06-22 14:57:02,"950	ap01	41.0373551846	2248160.0000000000"
2016-06-22 14:57:03,"971	ap01	42.0586061478	2249220.0000000000"
2016-06-22 14:57:04,"953	ap01	43.0408811569	2250380.0000000000"
2016-06-22 14:57:05,"952	ap01	44.0391271114	2250680.0000000000"
2016-06-22 14:57:06,"950	ap01	45.0374531746	2249630.0000000000"
2016-06-22 14:57:07,"950	ap01	46.0377931595	2248810.0000000000"
2016-06-22 14:57:08,"955	ap01	47.0430130959	2249470.0000000000"
2016-06-22 14:57:09,"987	ap01	48.0743041039	2248750.0000000000"
2016-06-22 14:57:10,"969	ap01	49.0566010475	2248610.0000000000"
2016-06-22 14:57:11,"952	ap01	50.0399529934	2249000.0000000000"
2016-06-22 14:57:12,"952	ap01	51.0392761230	2249000.0000000000"
2016-06-22 14:57:13,"950	ap01	52.0375130177	2242930.0000000000"
2016-06-22 14:57:14,"951	ap01	53.0387520790	2263970.0000000000"
2016-06-22 14:57:15,"962	ap01	54.0499629974	2257800.0000000000"
2016-06-22 14:57:16,"950	ap01	55.0373001099	2256930.0000000000"
2016-06-22 14:57:17,"954	ap01	56.0416760445	2251780.0000000000"
2016-06-22 14:57:18,"949	ap01	57.0369532108	2248790.0000000000"
2016-06-22 14:57:19,"953	ap01	58.0401630402	2241380.0000000000"
2016-06-22 14:57:20,"950	ap01	59.0374031067	2242070.0000000000"
2016-06-22 14:57:21,"978	ap01	60.0656921864	2241540.0000000000"
2016-06-22 14:57:22,"960	ap01	61.0479509830	2238950.0000000000"
2016-06-22 14:57:23,"950	ap01	62.0372550488	2236090.0000000000"
2016-06-22 14:57:24,"955	ap01	63.0425519943	2234950.0000000000"
2016-06-22 14:57:25,"950	ap01	64.0378789902	2233300.0000000000"
2016-06-22 14:57:26,"975	ap01	65.0620381832	2232360.0000000000"
2016-06-22 14:57:27,"954	ap01	66.0413792133	2231290.0000000000"
2016-06-22 14:57:28,"952	ap01	67.0396270752	2230800.0000000000"
2016-06-22 14:57:29,"949	ap01	68.0368571281	2230380.0000000000"
2016-06-22 14:57:30,"951	ap01	69.0381290913	2228770.0000000000"
2016-06-22 14:57:31,"956	ap01	70.0434172153	2229260.0000000000"
2016-06-22 14:57:32,"986	ap01	71.0737290382	2229970.0000000000"
2016-06-22 14:57:33,"969	ap01	72.0569851398	2229490.0000000000"
2016-06-22 14:57:34,"952	ap01	73.0392560959	2228900.0000000000"
2016-06-22 14:57:35,"953	ap01	74.0406360626	2229460.0000000000"
2016-06-22 14:57:36,"949	ap01	75.0369410515	2229760.0000000000"
2016-06-22 14:57:37,"952	ap01	76.0391161442	2230430.0000000000"
2016-06-22 14:57:38,"963	ap01	77.0504281521	2230090.0000000000"
2016-06-22 14:57:39,"950	ap01	78.0377051830	2230480.0000000000"
2016-06-22 14:57:40,"954	ap01	79.0419540405	2231440.0000000000"
2016-06-22 14:57:41,"950	ap01	80.0372300148	2233090.0000000000"
2016-06-22 14:57:42,"953	ap01	81.0405611992	2234690.0000000000"
2016-06-22 14:57:43,"950	ap01	82.0377650261	2235590.0000000000"
2016-06-22 14:57:44,"978	ap01	83.0650370121	2235190.0000000000"
2016-06-22 14:57:45,"961	ap01	84.0483779907	2234760.0000000000"
2016-06-22 14:57:46,"950	ap01	85.0377540588	2234380.0000000000"
2016-06-22 14:57:47,"955	ap01	86.0430161953	2234490.0000000000"
2016-06-22 14:57:48,"950	ap01	87.0372521877	2235220.0000000000"
2016-06-22 14:57:49,"975	ap01	88.0626051426	2235450.0000000000"
2016-06-22 14:57:50,"954	ap01	89.0419540405	2236270.0000000000"
2016-06-22 14:57:51,"953	ap01	90.0401151180	2237660.0000000000"
2016-06-22 14:57:52,"950	ap01	91.0373539925	2238910.0000000000"
2016-06-22 14:57:53,"951	ap01	92.0386540890	2239150.0000000000"
2016-06-22 14:57:54,"949	ap01	93.0369551182	2239940.0000000000"
2016-06-22 14:57:55,"987	ap01	94.0741930008	2240450.0000000000"
2016-06-22 14:57:56,"969	ap01	95.0565021038	2239870.0000000000"
2016-06-22 14:57:57,"953	ap01	96.0408132076	2238990.0000000000"
2016-06-22 14:57:58,"954	ap01	97.0411221981	2238550.0000000000"
2016-06-22 14:57:59,"950	ap01	98.0374801159	2238290.0000000000"
2016-06-22 14:58:00,"952	ap01	99.0397400856	2237840.0000000000"
2016-06-22 14:58:01,"963	ap01	100.0509572029	2236890.0000000000"
2016-06-22 14:58:02,"951	ap01	101.0381681919	2237540.0000000000"
2016-06-22 14:58:03,"955	ap01	102.0423791409	2237810.0000000000"
2016-06-22 14:58:04,"950	ap01	103.0377080441	2237560.0000000000"
2016-06-22 14:58:05,"953	ap01	104.0409882069	2237490.0000000000"
2016-06-22 14:58:06,"950	ap01	105.0371930599	2236830.0000000000"
2016-06-22 14:58:07,"979	ap01	106.0664060116	2236280.0000000000"
2016-06-22 14:58:08,"961	ap01	107.0487442017	2236710.0000000000"
2016-06-22 14:58:09,"951	ap01	108.0390090942	2236200.0000000000"
2016-06-22 14:58:10,"956	ap01	109.0433070660	2235410.0000000000"
2016-06-22 14:58:11,"950	ap01	110.0376319885	2234680.0000000000"
2016-06-22 14:58:12,"975	ap01	111.0629570484	2234560.0000000000"
2016-06-22 14:58:13,"955	ap01	112.0422279835	2234950.0000000000"
2016-06-22 14:58:14,"953	ap01	113.0406191349	2234010.0000000000"
2016-06-22 14:58:15,"949	ap01	114.0368621349	2234690.0000000000"
2016-06-22 14:58:16,"951	ap01	115.0389800072	2234720.0000000000"
2016-06-22 14:58:17,"950	ap01	116.0373830795	2234730.0000000000"
2016-06-22 14:58:18,"987	ap01	117.0746910572	2234500.0000000000"
2016-06-22 14:58:19,"970	ap01	118.0579671860	2233700.0000000000"
2016-06-22 14:58:20,"952	ap01	119.0392861366	2233550.0000000000"
2016-06-22 14:58:21,"953	ap01	120.0406410694	2233570.0000000000"
2016-06-22 14:58:22,"949	ap01	121.0368921757	2233540.0000000000"
2016-06-22 14:58:23,"953	ap01	122.0401811600	2232540.0000000000"
2016-06-22 14:58:24,"963	ap01	123.0504610538	2232410.0000000000"
2016-06-22 14:58:25,"950	ap01	124.0377840996	2232050.0000000000"
2016-06-22 14:58:26,"955	ap01	125.0430200100	2231840.0000000000"
2016-06-22 14:58:27,"950	ap01	126.0372881889	2231710.0000000000"
2016-06-22 14:58:28,"954	ap01	127.0415871143	2231320.0000000000"
2016-06-22 14:58:29,"949	ap01	128.0368671417	2231060.0000000000"
2016-06-22 14:58:30,"979	ap01	129.0661361217	2230890.0000000000"
2016-06-22 14:58:31,"962	ap01	130.0494520664	2230800.0000000000"
2016-06-22 14:58:32,"951	ap01	131.0387539864	2230740.0000000000"
2016-06-22 14:58:33,"949	ap01	132.0370311737	2230630.0000000000"
2016-06-22 14:58:34,"950	ap01	133.0372841358	2230440.0000000000"
2016-06-22 14:58:35,"976	ap01	134.0635340214	2230590.0000000000"
2016-06-22 14:58:36,"955	ap01	135.0429601669	2230510.0000000000"
2016-06-22 14:58:37,"954	ap01	136.0411391258	2229620.0000000000"
2016-06-22 14:58:38,"950	ap01	137.0374591351	2228250.0000000000"
2016-06-22 14:58:39,"951	ap01	138.0387861729	2228500.0000000000"
2016-06-22 14:58:40,"949	ap01	139.0369842052	2228580.0000000000"
2016-06-22 14:58:41,"988	ap01	140.0752620697	2227950.0000000000"
2016-06-22 14:58:42,"970	ap01	141.0575630665	2227560.0000000000"
2016-06-22 14:58:43,"953	ap01	142.0409181118	2227270.0000000000"
2016-06-22 14:58:44,"954	ap01	143.0411381721	2227200.0000000000"
2016-06-22 14:58:45,"950	ap01	144.0374600887	2227370.0000000000"
2016-06-22 14:58:46,"953	ap01	145.0407650471	2227450.0000000000"
2016-06-22 14:58:47,"963	ap01	146.0509819984	2227330.0000000000"
2016-06-22 14:58:48,"951	ap01	147.0383100510	2227200.0000000000"
2016-06-22 14:58:49,"956	ap01	148.0435872078	2227090.0000000000"
2016-06-22 14:58:50,"950	ap01	149.0378341675	2227130.0000000000"
2016-06-22 14:58:51,"954	ap01	150.0419340134	2226750.0000000000"
2016-06-22 14:58:52,"950	ap01	151.0373342037	2226560.0000000000"
2016-06-22 14:58:53,"979	ap01	152.0666370392	2226770.0000000000"
2016-06-22 14:58:54,"961	ap01	153.0489180088	2226800.0000000000"
2016-06-22 14:58:55,"952	ap01	154.0391981602	2226480.0000000000"
2016-06-22 14:58:56,"950	ap01	155.0374610424	2226170.0000000000"
2016-06-22 14:58:57,"950	ap01	156.0377731323	2225810.0000000000"
2016-06-22 14:58:58,"976	ap01	157.0640242100	2225880.0000000000"
2016-06-22 14:58:59,"956	ap01	158.0433871746	2225730.0000000000"
2016-06-22 14:59:00,"953	ap01	159.0406930447	2225730.0000000000"
2016-06-22 14:59:01,"949	ap01	160.0369720459	2225330.0000000000"
2016-06-22 14:59:02,"953	ap01	161.0402271748	2224710.0000000000"
2016-06-22 14:59:03,"950	ap01	162.0374979973	2224360.0000000000"
2016-06-22 14:59:04,"987	ap01	163.0746591091	2225360.0000000000"
2016-06-22 14:59:05,"971	ap01	164.0580639839	2225230.0000000000"
2016-06-22 14:59:06,"954	ap01	165.0412721634	2224390.0000000000"
2016-06-22 14:59:07,"954	ap01	166.0415630341	2224710.0000000000"
2016-06-22 14:59:08,"950	ap01	167.0378611088	2224200.0000000000"
2016-06-22 14:59:09,"954	ap01	168.0412201881	2224440.0000000000"
2016-06-22 14:59:10,"964	ap01	169.0514390469	2223700.0000000000"
2016-06-22 14:59:11,"951	ap01	170.0387871265	2224130.0000000000"
2016-06-22 14:59:12,"950	ap01	171.0370991230	2224150.0000000000"
2016-06-22 14:59:13,"950	ap01	172.0373871326	2224010.0000000000"
2016-06-22 14:59:14,"955	ap01	173.0427610874	2223200.0000000000"
2016-06-22 14:59:15,"949	ap01	174.0370080471	2223400.0000000000"
2016-06-22 14:59:16,"979	ap01	175.0663211346	2222080.0000000000"
2016-06-22 14:59:17,"962	ap01	176.0496702194	2223640.0000000000"
2016-06-22 14:59:18,"952	ap01	177.0399711132	2222380.0000000000"
2016-06-22 14:59:19,"950	ap01	178.0372650623	2222870.0000000000"
2016-06-22 14:59:20,"950	ap01	179.0374751091	2222750.0000000000"
2016-06-22 14:59:21,"976	ap01	180.0637881756	2222440.0000000000"
2016-06-22 14:59:22,"955	ap01	181.0429630280	2222600.0000000000"
2016-06-22 14:59:23,"954	ap01	182.0412950516	2222860.0000000000"
2016-06-22 14:59:24,"950	ap01	183.0375661850	2222800.0000000000"
2016-06-22 14:59:25,"952	ap01	184.0397911072	2222230.0000000000"
2016-06-22 14:59:26,"949	ap01	185.0369870663	2222090.0000000000"
2016-06-22 14:59:27,"989	ap01	186.0762681961	2221410.0000000000"
2016-06-22 14:59:28,"971	ap01	187.0586161613	2220300.0000000000"
2016-06-22 14:59:29,"954	ap01	188.0419621468	2222760.0000000000"
2016-06-22 14:59:30,"955	ap01	189.0421781540	2221650.0000000000"
2016-06-22 14:59:31,"950	ap01	190.0374910831	2221110.0000000000"
2016-06-22 14:59:32,"953	ap01	191.0407991409	2222220.0000000000"
2016-06-22 14:59:33,"965	ap01	192.0520470142	2222210.0000000000"
2016-06-22 14:59:34,"952	ap01	193.0393400192	2222160.0000000000"
2016-06-22 14:59:35,"950	ap01	194.0376420021	2221070.0000000000"
2016-06-22 14:59:36,"950	ap01	195.0379650593	2221830.0000000000"
2016-06-22 14:59:37,"955	ap01	196.0421750546	2222860.0000000000"
2016-06-22 14:59:38,"950	ap01	197.0375151634	2222390.0000000000"
2016-06-22 14:59:39,"980	ap01	198.0677170753	2222530.0000000000"
2016-06-22 14:59:40,"962	ap01	199.0498871803	2223050.0000000000"
2016-06-22 14:59:41,"953	ap01	200.0402300358	2222800.0000000000"
2016-06-22 14:59:42,"950	ap01	201.0374650955	2222950.0000000000"
2016-06-22 14:59:43,"951	ap01	202.0387170315	2222010.0000000000"
2016-06-22 14:59:44,"949	ap01	203.0369951725	2220960.0000000000"
2016-06-22 14:59:45,"957	ap01	204.0441541672	2219660.0000000000"
2016-06-22 14:59:46,"954	ap01	205.0415670872	2220120.0000000000"
2016-06-22 14:59:47,"949	ap01	206.0369060040	2223420.0000000000"
2016-06-22 14:59:48,"953	ap01	207.0401120186	2220450.0000000000"
2016-06-22 14:59:49,"950	ap01	208.0373671055	2221350.0000000000"
2016-06-22 14:59:50,"988	ap01	209.0756440163	2219470.0000000000"
2016-06-22 14:59:51,"971	ap01	210.0589671135	2219710.0000000000"
2016-06-22 14:59:52,"954	ap01	211.0411322117	2219680.0000000000"
2016-06-22 14:59:53,"955	ap01	212.0424141884	2219890.0000000000"
2016-06-22 14:59:54,"950	ap01	213.0376930237	2220290.0000000000"
2016-06-22 14:59:55,"954	ap01	214.0419700146	2219560.0000000000"
2016-06-22 14:59:56,"965	ap01	215.0521941185	2219630.0000000000"
2016-06-22 14:59:57,"952	ap01	216.0394790173	2217140.0000000000"
2016-06-22 14:59:58,"950	ap01	217.0378451347	2219400.0000000000"
2016-06-22 14:59:59,"951	ap01	218.0380551815	2218520.0000000000"
2016-06-22 15:00:00,"956	ap01	219.0434172153	2219230.0000000000"
2016-06-22 15:00:01,"950	ap01	220.0376942158	2219590.0000000000"
2016-06-22 15:00:02,"979	ap01	221.0669641495	2220080.0000000000"
2016-06-22 15:00:03,"964	ap01	222.0512061119	2219370.0000000000"
2016-06-22 15:00:04,"953	ap01	223.0406260490	2218430.0000000000"
2016-06-22 15:00:05,"949	ap01	224.0368731022	2218980.0000000000"
2016-06-22 15:00:06,"952	ap01	225.0390791893	2218900.0000000000"
2016-06-22 15:00:07,"950	ap01	226.0374481678	2218350.0000000000"
2016-06-22 15:00:08,"956	ap01	227.0437932014	2217530.0000000000"
2016-06-22 15:00:09,"955	ap01	228.0420780182	2218410.0000000000"
2016-06-22 15:00:10,"950	ap01	229.0373971462	2218390.0000000000"
2016-06-22 15:00:11,"953	ap01	230.0407240391	2219590.0000000000"
2016-06-22 15:00:12,"949	ap01	231.0370051861	2219160.0000000000"
2016-06-22 15:00:13,"990	ap01	232.0771231651	2219130.0000000000"
2016-06-22 15:00:14,"972	ap01	233.0594701767	2219860.0000000000"
2016-06-22 15:00:15,"955	ap01	234.0427160263	2221620.0000000000"
2016-06-22 15:00:16,"955	ap01	235.0428922176	2220740.0000000000"
2016-06-22 15:00:17,"950	ap01	236.0372710228	2219300.0000000000"
2016-06-22 15:00:18,"954	ap01	237.0415050983	2218450.0000000000"
2016-06-22 15:00:19,"965	ap01	238.0528550148	2219180.0000000000"
2016-06-22 15:00:20,"953	ap01	239.0402281284	2219400.0000000000"
2016-06-22 15:00:21,"951	ap01	240.0384449959	2219130.0000000000"
2016-06-22 15:00:22,"951	ap01	241.0387971401	2218340.0000000000"
2016-06-22 15:00:23,"950	ap01	242.0370380878	2220080.0000000000"
2016-06-22 15:00:24,"950	ap01	243.0373101234	2220040.0000000000"
2016-06-22 15:00:25,"981	ap01	244.0686240196	2223440.0000000000"
2016-06-22 15:00:26,"963	ap01	245.0508232117	2218750.0000000000"
2016-06-22 15:00:27,"953	ap01	246.0401270390	2219340.0000000000"
2016-06-22 15:00:28,"950	ap01	247.0373392105	2219540.0000000000"
2016-06-22 15:00:29,"951	ap01	248.0386960506	2219550.0000000000"
2016-06-22 15:00:30,"949	ap01	249.0370070934	2218650.0000000000"
2016-06-22 15:00:31,"957	ap01	250.0443120003	2217500.0000000000"
2016-06-22 15:00:32,"955	ap01	251.0424590111	2218350.0000000000"
2016-06-22 15:00:33,"950	ap01	252.0377740860	2216130.0000000000"
2016-06-22 15:00:34,"953	ap01	253.0410060883	2216660.0000000000"
2016-06-22 15:00:35,"950	ap01	254.0372161865	2217380.0000000000"
2016-06-22 15:00:36,"989	ap01	255.0764620304	2216340.0000000000"
2016-06-22 15:00:37,"972	ap01	256.0596361160	2215780.0000000000"
2016-06-22 15:00:38,"954	ap01	257.0419960022	2217900.0000000000"
2016-06-22 15:00:39,"956	ap01	258.0432181358	2218360.0000000000"
2016-06-22 15:00:40,"950	ap01	259.0375211239	2216540.0000000000"
2016-06-22 15:00:41,"954	ap01	260.0418200493	2216380.0000000000"
2016-06-22 15:00:42,"965	ap01	261.0530030727	2214740.0000000000"
2016-06-22 15:00:43,"953	ap01	262.0402891636	2216660.0000000000"
2016-06-22 15:00:44,"950	ap01	263.0376081467	2217130.0000000000"
2016-06-22 15:00:45,"951	ap01	264.0388710499	2217790.0000000000"
2016-06-22 15:00:46,"950	ap01	265.0370621681	2215810.0000000000"
2016-06-22 15:00:47,"951	ap01	266.0383720398	2217750.0000000000"
2016-06-22 15:00:48,"980	ap01	267.0676610470	2219510.0000000000"
2016-06-22 15:00:49,"963	ap01	268.0509731770	2215640.0000000000"
2016-06-22 15:00:50,"954	ap01	269.0413050652	2216250.0000000000"
2016-06-22 15:00:51,"950	ap01	270.0375490189	2215970.0000000000"
2016-06-22 15:00:52,"952	ap01	271.0398740768	2216050.0000000000"
2016-06-22 15:00:53,"950	ap01	272.0371630192	2217070.0000000000"
2016-06-22 15:00:54,"961	ap01	273.0484001637	2217510.0000000000"
2016-06-22 15:00:55,"955	ap01	274.0427210331	2218210.0000000000"
2016-06-22 15:00:56,"949	ap01	275.0369780064	2218010.0000000000"
2016-06-22 15:00:57,"954	ap01	276.0413250923	2216610.0000000000"
2016-06-22 15:00:58,"950	ap01	277.0375480652	2216910.0000000000"
2016-06-22 15:00:59,"990	ap01	278.0778532028	2217000.0000000000"
2016-06-22 15:01:00,"973	ap01	279.0602500439	2216690.0000000000"
2016-06-22 15:01:01,"956	ap01	280.0435240269	2216390.0000000000"
2016-06-22 15:01:02,"956	ap01	281.0437719822	2215420.0000000000"
2016-06-22 15:01:03,"950	ap01	282.0371041298	2215550.0000000000"
2016-06-22 15:01:04,"955	ap01	283.0423250198	2215520.0000000000"
2016-06-22 15:01:05,"966	ap01	284.0535590649	2216710.0000000000"
2016-06-22 15:01:06,"953	ap01	285.0408570766	2214960.0000000000"
2016-06-22 15:01:07,"950	ap01	286.0371141434	2214310.0000000000"
2016-06-22 15:01:08,"952	ap01	287.0393211842	2215290.0000000000"
2016-06-22 15:01:09,"950	ap01	288.0377490520	2214940.0000000000"
2016-06-22 15:01:10,"951	ap01	289.0380761623	2215970.0000000000"
2016-06-22 15:01:11,"981	ap01	290.0683400631	2216890.0000000000"
2016-06-22 15:01:12,"964	ap01	291.0516500473	2215840.0000000000"
2016-06-22 15:01:13,"953	ap01	292.0410070419	2217510.0000000000"
2016-06-22 15:01:14,"950	ap01	293.0371880531	2215480.0000000000"
2016-06-22 15:01:15,"952	ap01	294.0394752026	2216300.0000000000"
2016-06-22 15:01:16,"950	ap01	295.0377500057	2219330.0000000000"
2016-06-22 15:01:17,"957	ap01	296.0450050831	2215550.0000000000"
2016-06-22 15:01:18,"956	ap01	297.0432741642	2216270.0000000000"
2016-06-22 15:01:19,"950	ap01	298.0375781059	2215970.0000000000"
2016-06-22 15:01:20,"954	ap01	299.0418500900	2215170.0000000000"
2016-06-22 15:01:21,"950	ap01	300.0371670723	2215100.0000000000"
2016-06-22 15:01:22,"990	ap01	301.0773520470	2215450.0000000000"
2016-06-22 15:01:23,"973	ap01	302.0607030392	2216750.0000000000"
2016-06-22 15:01:24,"955	ap01	303.0429761410	2216200.0000000000"
2016-06-22 15:01:25,"950	ap01	304.0372180939	2215790.0000000000"
2016-06-22 15:01:26,"950	ap01	305.0374760628	2215110.0000000000"
