SP.ID,type,5cm,10cm,15cm,20cm,25cm,30cm,35cm,40cm,45cm,50cm,55cm,60cm,65cm,70cm,75cm,80cm,85cm,90cm,95cm,100cm,105cm,110cm
PC25,f,7.48 ,3.92 ,2.43 ,2.01 ,1.58 ,1.24 ,0.61 ,0.30 ,0.36 ,0.13 ,,,,,,,,,,,,
AS09,f,2.12 ,1.42 ,1.00 ,0.74 ,0.41 ,0.56 ,0.11 ,0.01 ,0.01 ,0.05 ,,,,,,,,,,,,
AH11,f,3.62 ,2.94 ,3.31 ,1.83 ,1.32 ,0.82 ,0.57 ,0.52 ,0.25 ,0.32 ,0.17 ,0.11 ,0.06 ,0.08 ,0.10 ,,,,,,,
EC05,f,6.19 ,5.95 ,4.38 ,5.26 ,3.31 ,3.94 ,2.40 ,1.74 ,1.64 ,2.60 ,1.06 ,1.82 ,1.15 ,0.73 ,0.85 ,1.08 ,0.64 ,0.50 ,1.27 ,0.95 ,0.93 ,0.40 
EGC05,f,12.98 ,9.32 ,10.28 ,13.24 ,19.04 ,3.27 ,1.36 ,1.03 ,0.39 ,0.19 ,0.12 ,0.07 ,0.12 ,0.14 ,0.04 ,0.04 ,0.04 ,0.02 ,,,,
OH07,f,2.54 ,3.45 ,3.10 ,2.98 ,2.76 ,1.99 ,2.38 ,0.80 ,0.91 ,1.13 ,0.74 ,0.77 ,0.53 ,0.14 ,,,,,,,,
AG07,f,7.47 ,3.26 ,1.65 ,1.34 ,0.90 ,0.97 ,0.43 ,0.63 ,0.44 ,0.28 ,0.36 ,0.46 ,1.35 ,0.68 ,0.38 ,0.32 ,0.21 ,0.74 ,0.60 ,,,
MD11,f,3.07 ,1.66 ,1.08 ,0.56 ,0.48 ,0.27 ,0.18 ,0.10 ,0.12 ,,,,,,,,,,,,,
SN05,f,10.42 ,8.62 ,5.97 ,3.22 ,1.84 ,0.53 ,0.10 ,,,,,,,,,,,,,,,
AL43,f,5.42 ,4.65 ,2.56 ,1.48 ,0.84 ,1.02 ,0.81 ,,,,,,,,,,,,,,,
AL49,f,7.69 ,2.64 ,0.72 ,0.91 ,0.55 ,0.15 ,0.03 ,,,,,,,,,,,,,,,
OH13,f,5.60 ,3.85 ,5.07 ,3.05 ,1.74 ,1.62 ,1.41 ,0.98 ,0.75 ,0.39 ,0.56 ,0.17 ,0.55 ,0.21 ,,,,,,,,
EC03,f,3.32 ,1.40 ,2.24 ,1.34 ,1.39 ,2.63 ,0.91 ,0.72 ,0.38 ,0.76 ,0.15 ,0.05 ,0.04 ,0.04 ,0.33 ,,,,,,,
AG01,f,11.11 ,4.81 ,4.76 ,1.28 ,1.19 ,1.01 ,1.01 ,0.75 ,1.01 ,0.60 ,0.71 ,0.53 ,0.46 ,0.51 ,0.42 ,0.31 ,0.16 ,0.14 ,0.12 ,0.15 ,,
SN15,f,9.79 ,6.42 ,3.84 ,1.87 ,0.74 ,0.16 ,0.15 ,,,,,,,,,,,,,,,
AH05,f,8.04 ,2.65 ,2.03 ,1.58 ,1.42 ,1.24 ,1.07 ,0.70 ,0.41 ,0.20 ,0.20 ,0.14 ,0.05 ,0.06 ,0.01 ,0.02 ,0.02 ,,,,,
PC21,f,9.79 ,7.76 ,4.60 ,2.14 ,0.35 ,0.49 ,0.03 ,0.12 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.05 ,,,,,,,,
EGC11,f,12.26 ,6.38 ,6.54 ,5.64 ,5.34 ,0.28 ,0.06 ,,,,,,,,,,,,,,,
AS15,f,1.10 ,0.37 ,0.32 ,0.08 ,0.21 ,,,,,,,,,,,,,,,,,
MD07,f,4.47 ,2.19 ,1.52 ,0.49 ,0.21 ,0.09 ,0.08 ,0.06 ,,,,,,,,,,,,,,
OH10,f,10.57 ,10.35 ,8.96 ,7.24 ,7.37 ,6.83 ,9.73 ,3.40 ,3.23 ,2.38 ,1.38 ,0.44 ,0.37 ,0.22 ,0.26 ,0.04 ,,,,,,
AG10,f,8.02 ,3.54 ,2.90 ,4.67 ,1.87 ,1.57 ,0.12 ,0.10 ,,,,,,,,,,,,,,
EC12,f,5.49 ,4.51 ,4.50 ,4.19 ,3.67 ,3.40 ,3.70 ,3.48 ,2.83 ,2.61 ,1.59 ,2.63 ,3.83 ,4.44 ,1.30 ,0.67 ,0.32 ,,,,,
AH16,f,4.71 ,2.28 ,1.57 ,1.90 ,1.60 ,1.16 ,0.95 ,0.90 ,0.63 ,0.47 ,0.43 ,0.47 ,0.37 ,0.26 ,0.17 ,,,,,,,
AL46,f,21.45 ,12.11 ,6.97 ,7.37 ,4.27 ,4.69 ,1.91 ,1.45 ,1.08 ,0.46 ,0.15 ,,,,,,,,,,,
PC30,f,4.29 ,2.92 ,3.66 ,3.76 ,1.38 ,0.45 ,,,,,,,,,,,,,,,,
EGC14,f,5.44 ,7.09 ,2.51 ,1.14 ,,,,,,,,,,,,,,,,,,
SN10,f,2.28 ,4.07 ,3.89 ,2.32 ,0.72 ,,,,,,,,,,,,,,,,,
AS08,f,1.98 ,0.77 ,0.83 ,,,,,,,,,,,,,,,,,,,
MD18,f,0.37 ,0.20 ,0.15 ,0.07 ,0.13 ,,,,,,,,,,,,,,,,,
AL49,d,6.83 ,2.41 ,0.65 ,0.81 ,0.51 ,0.12 ,0.03 ,,,,,,,,,,,,,,,
EC03,d,3.11 ,1.28 ,2.04 ,1.20 ,1.28 ,2.43 ,0.83 ,0.68 ,0.35 ,0.68 ,0.15 ,0.05 ,0.03 ,0.04 ,0.31 ,,,,,,,
