"Plot Title: 1282986"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1282986, SEN S/N: 1282986)","Started (LGR S/N: 1282986)","Button Down (LGR S/N: 1282986)","Button Up (LGR S/N: 1282986)","Host Connected (LGR S/N: 1282986)","Stopped (LGR S/N: 1282986)","End Of File (LGR S/N: 1282986)"
1,11/06/15 10:57:32 AM,15.20,Logged,,,,,
2,11/06/15 10:57:33 AM,15.20,,,,,,
3,11/06/15 10:57:34 AM,15.20,,,,,,
4,11/06/15 10:57:35 AM,15.20,,,,,,
5,11/06/15 10:57:36 AM,15.20,,,,,,
6,11/06/15 10:57:37 AM,15.20,,,,,,
7,11/06/15 10:57:38 AM,15.20,,,,,,
8,11/06/15 10:57:39 AM,15.20,,,,,,
9,11/06/15 10:57:40 AM,15.20,,,,,,
10,11/06/15 10:57:41 AM,15.20,,,,,,
11,11/06/15 10:57:42 AM,15.20,,,,,,
12,11/06/15 10:57:43 AM,15.20,,,,,,
13,11/06/15 10:57:44 AM,15.20,,,,,,
14,11/06/15 10:57:45 AM,15.20,,,,,,
15,11/06/15 10:57:46 AM,15.20,,,,,,
16,11/06/15 10:57:47 AM,15.20,,,,,,
17,11/06/15 10:57:48 AM,15.20,,,,,,
18,11/06/15 10:57:49 AM,15.20,,,,,,
19,11/06/15 10:57:50 AM,15.20,,,,,,
20,11/06/15 10:57:51 AM,15.20,,,,,,
21,11/06/15 10:57:52 AM,15.20,,,,,,
22,11/06/15 10:57:53 AM,15.20,,,,,,
23,11/06/15 10:57:54 AM,15.20,,,,,,
24,11/06/15 10:57:55 AM,15.20,,,,,,
25,11/06/15 10:57:56 AM,15.20,,,,,,
26,11/06/15 10:57:57 AM,15.20,,,,,,
27,11/06/15 10:57:58 AM,15.20,,,,,,
28,11/06/15 10:57:59 AM,15.20,,,,,,
29,11/06/15 10:58:00 AM,15.20,,,,,,
30,11/06/15 10:58:01 AM,15.20,,,,,,
31,11/06/15 10:58:02 AM,15.20,,,,,,
32,11/06/15 10:58:03 AM,15.20,,,,,,
33,11/06/15 10:58:04 AM,15.20,,,,,,
34,11/06/15 10:58:05 AM,15.20,,,,,,
35,11/06/15 10:58:06 AM,15.20,,,,,,
36,11/06/15 10:58:07 AM,15.20,,,,,,
37,11/06/15 10:58:08 AM,15.20,,,,,,
38,11/06/15 10:58:09 AM,15.20,,,,,,
39,11/06/15 10:58:10 AM,15.20,,,,,,
40,11/06/15 10:58:11 AM,15.20,,,,,,
41,11/06/15 10:58:12 AM,15.20,,,,,,
42,11/06/15 10:58:13 AM,15.20,,,,,,
43,11/06/15 10:58:14 AM,15.20,,,,,,
44,11/06/15 10:58:15 AM,15.20,,,,,,
45,11/06/15 10:58:16 AM,15.20,,,,,,
46,11/06/15 10:58:17 AM,15.20,,,,,,
47,11/06/15 10:58:18 AM,15.20,,,,,,
48,11/06/15 10:58:19 AM,15.20,,,,,,
49,11/06/15 10:58:20 AM,15.20,,,,,,
50,11/06/15 10:58:21 AM,15.20,,,,,,
51,11/06/15 10:58:22 AM,15.20,,,,,,
52,11/06/15 10:58:23 AM,15.20,,,,,,
53,11/06/15 10:58:24 AM,15.20,,,,,,
54,11/06/15 10:58:25 AM,15.20,,,,,,
55,11/06/15 10:58:26 AM,15.20,,,,,,
56,11/06/15 10:58:27 AM,15.20,,,,,,
57,11/06/15 10:58:28 AM,15.20,,,,,,
58,11/06/15 10:58:29 AM,15.20,,,,,,
59,11/06/15 10:58:30 AM,15.20,,,,,,
60,11/06/15 10:58:31 AM,15.20,,,,,,
61,11/06/15 10:58:32 AM,15.20,,,,,,
62,11/06/15 10:58:33 AM,15.20,,,,,,
63,11/06/15 10:58:34 AM,15.20,,,,,,
64,11/06/15 10:58:35 AM,15.20,,,,,,
65,11/06/15 10:58:36 AM,15.20,,,,,,
66,11/06/15 10:58:37 AM,15.20,,,,,,
67,11/06/15 10:58:38 AM,15.20,,,,,,
68,11/06/15 10:58:39 AM,15.20,,,,,,
69,11/06/15 10:58:40 AM,15.20,,,,,,
70,11/06/15 10:58:41 AM,15.20,,,,,,
71,11/06/15 10:58:42 AM,15.20,,,,,,
72,11/06/15 10:58:43 AM,15.20,,,,,,
73,11/06/15 10:58:44 AM,15.20,,,,,,
74,11/06/15 10:58:45 AM,15.20,,,,,,
75,11/06/15 10:58:46 AM,15.20,,,,,,
76,11/06/15 10:58:47 AM,15.20,,,,,,
77,11/06/15 10:58:48 AM,15.20,,,,,,
78,11/06/15 10:58:49 AM,15.20,,,,,,
79,11/06/15 10:58:50 AM,15.20,,,,,,
80,11/06/15 10:58:51 AM,15.20,,,,,,
81,11/06/15 10:58:52 AM,15.20,,,,,,
82,11/06/15 10:58:53 AM,15.20,,,,,,
83,11/06/15 10:58:54 AM,15.20,,,,,,
84,11/06/15 10:58:55 AM,15.20,,,,,,
85,11/06/15 10:58:56 AM,15.20,,,,,,
86,11/06/15 10:58:57 AM,15.20,,,,,,
87,11/06/15 10:58:58 AM,15.20,,,,,,
88,11/06/15 10:58:59 AM,15.20,,,,,,
89,11/06/15 10:59:00 AM,15.20,,,,,,
90,11/06/15 10:59:01 AM,15.20,,,,,,
91,11/06/15 10:59:02 AM,15.20,,,,,,
92,11/06/15 10:59:03 AM,15.20,,,,,,
93,11/06/15 10:59:04 AM,15.20,,,,,,
94,11/06/15 10:59:05 AM,15.20,,,,,,
95,11/06/15 10:59:06 AM,15.20,,,,,,
96,11/06/15 10:59:07 AM,15.20,,,,,,
97,11/06/15 10:59:08 AM,15.20,,,,,,
98,11/06/15 10:59:09 AM,15.20,,,,,,
99,11/06/15 10:59:10 AM,15.20,,,,,,
100,11/06/15 10:59:11 AM,15.20,,,,,,
101,11/06/15 10:59:12 AM,15.20,,,,,,
102,11/06/15 10:59:13 AM,15.20,,,,,,
103,11/06/15 10:59:14 AM,15.20,,,,,,
104,11/06/15 10:59:15 AM,15.20,,,,,,
105,11/06/15 10:59:16 AM,15.20,,,,,,
106,11/06/15 10:59:17 AM,15.20,,,,,,
107,11/06/15 10:59:18 AM,15.20,,,,,,
108,11/06/15 10:59:19 AM,15.20,,,,,,
109,11/06/15 10:59:20 AM,15.20,,,,,,
110,11/06/15 10:59:21 AM,15.20,,,,,,
111,11/06/15 10:59:22 AM,15.20,,,,,,
112,11/06/15 10:59:23 AM,15.20,,,,,,
113,11/06/15 10:59:24 AM,15.20,,,,,,
114,11/06/15 10:59:25 AM,15.20,,,,,,
115,11/06/15 10:59:26 AM,15.20,,,,,,
116,11/06/15 10:59:27 AM,15.20,,,,,,
117,11/06/15 10:59:28 AM,15.20,,,,,,
118,11/06/15 10:59:29 AM,15.20,,,,,,
119,11/06/15 10:59:30 AM,15.20,,,,,,
120,11/06/15 10:59:31 AM,15.20,,,,,,
121,11/06/15 10:59:32 AM,15.20,,,,,,
122,11/06/15 10:59:33 AM,15.20,,,,,,
123,11/06/15 10:59:34 AM,15.20,,,,,,
124,11/06/15 10:59:35 AM,15.20,,,,,,
125,11/06/15 10:59:36 AM,15.20,,,,,,
126,11/06/15 10:59:37 AM,15.20,,,,,,
127,11/06/15 10:59:38 AM,15.20,,,,,,
128,11/06/15 10:59:39 AM,15.20,,,,,,
129,11/06/15 10:59:40 AM,15.20,,,,,,
130,11/06/15 10:59:41 AM,15.20,,,,,,
131,11/06/15 10:59:42 AM,15.20,,,,,,
132,11/06/15 10:59:43 AM,15.20,,,,,,
133,11/06/15 10:59:44 AM,15.20,,,,,,
134,11/06/15 10:59:45 AM,15.20,,,,,,
135,11/06/15 10:59:46 AM,15.20,,,,,,
136,11/06/15 10:59:47 AM,15.20,,,,,,
137,11/06/15 10:59:48 AM,15.20,,,,,,
138,11/06/15 10:59:49 AM,15.20,,,,,,
139,11/06/15 10:59:50 AM,14.86,,,,,,
140,11/06/15 10:59:51 AM,15.20,,,,,,
141,11/06/15 10:59:52 AM,15.20,,,,,,
142,11/06/15 10:59:53 AM,15.20,,,,,,
143,11/06/15 10:59:54 AM,14.86,,,,,,
144,11/06/15 10:59:55 AM,15.20,,,,,,
145,11/06/15 10:59:56 AM,15.20,,,,,,
146,11/06/15 10:59:57 AM,14.86,,,,,,
147,11/06/15 10:59:58 AM,15.20,,,,,,
148,11/06/15 10:59:59 AM,14.86,,,,,,
149,11/06/15 11:00:00 AM,15.20,,,,,,
150,11/06/15 11:00:01 AM,14.86,,,,,,
151,11/06/15 11:00:02 AM,15.20,,,,,,
152,11/06/15 11:00:03 AM,14.86,,,,,,
153,11/06/15 11:00:04 AM,14.86,,,,,,
154,11/06/15 11:00:05 AM,14.86,,,,,,
155,11/06/15 11:00:06 AM,14.86,,,,,,
156,11/06/15 11:00:07 AM,14.86,,,,,,
157,11/06/15 11:00:08 AM,14.86,,,,,,
158,11/06/15 11:00:09 AM,14.86,,,,,,
159,11/06/15 11:00:10 AM,14.86,,,,,,
160,11/06/15 11:00:11 AM,14.86,,,,,,
161,11/06/15 11:00:12 AM,14.86,,,,,,
162,11/06/15 11:00:13 AM,14.86,,,,,,
163,11/06/15 11:00:14 AM,14.86,,,,,,
164,11/06/15 11:00:15 AM,14.86,,,,,,
165,11/06/15 11:00:16 AM,14.86,,,,,,
166,11/06/15 11:00:17 AM,15.20,,,,,,
167,11/06/15 11:00:18 AM,14.86,,,,,,
168,11/06/15 11:00:19 AM,14.86,,,,,,
169,11/06/15 11:00:20 AM,14.86,,,,,,
170,11/06/15 11:00:21 AM,14.86,,,,,,
171,11/06/15 11:00:22 AM,14.86,,,,,,
172,11/06/15 11:00:23 AM,14.86,,,,,,
173,11/06/15 11:00:24 AM,14.86,,,,,,
174,11/06/15 11:00:25 AM,15.20,,,,,,
175,11/06/15 11:00:26 AM,14.86,,,,,,
176,11/06/15 11:00:27 AM,14.86,,,,,,
177,11/06/15 11:00:28 AM,14.86,,,,,,
178,11/06/15 11:00:29 AM,15.20,,,,,,
179,11/06/15 11:00:30 AM,15.20,,,,,,
180,11/06/15 11:00:31 AM,15.20,,,,,,
181,11/06/15 11:00:32 AM,15.20,,,,,,
182,11/06/15 11:00:33 AM,14.86,,,,,,
183,11/06/15 11:00:34 AM,15.20,,,,,,
184,11/06/15 11:00:35 AM,15.20,,,,,,
185,11/06/15 11:00:36 AM,15.20,,,,,,
186,11/06/15 11:00:37 AM,15.20,,,,,,
187,11/06/15 11:00:38 AM,15.20,,,,,,
188,11/06/15 11:00:39 AM,15.20,,,,,,
189,11/06/15 11:00:40 AM,15.20,,,,,,
190,11/06/15 11:00:41 AM,15.20,,,,,,
191,11/06/15 11:00:42 AM,14.86,,,,,,
192,11/06/15 11:00:43 AM,14.86,,,,,,
193,11/06/15 11:00:44 AM,14.86,,,,,,
194,11/06/15 11:00:45 AM,14.86,,,,,,
195,11/06/15 11:00:46 AM,14.86,,,,,,
196,11/06/15 11:00:47 AM,14.86,,,,,,
197,11/06/15 11:00:48 AM,14.86,,,,,,
198,11/06/15 11:00:49 AM,14.86,,,,,,
199,11/06/15 11:00:50 AM,14.86,,,,,,
200,11/06/15 11:00:51 AM,14.86,,,,,,
201,11/06/15 11:00:52 AM,14.86,,,,,,
202,11/06/15 11:00:53 AM,14.86,,,,,,
203,11/06/15 11:00:54 AM,14.86,,,,,,
204,11/06/15 11:00:55 AM,14.86,,,,,,
205,11/06/15 11:00:56 AM,14.86,,,,,,
206,11/06/15 11:00:57 AM,14.86,,,,,,
207,11/06/15 11:00:58 AM,14.86,,,,,,
208,11/06/15 11:00:59 AM,14.86,,,,,,
209,11/06/15 11:01:00 AM,14.86,,,,,,
210,11/06/15 11:01:01 AM,14.86,,,,,,
211,11/06/15 11:01:02 AM,14.86,,,,,,
212,11/06/15 11:01:03 AM,14.86,,,,,,
213,11/06/15 11:01:04 AM,14.86,,,,,,
214,11/06/15 11:01:05 AM,14.86,,,,,,
215,11/06/15 11:01:06 AM,14.86,,,,,,
216,11/06/15 11:01:07 AM,14.86,,,,,,
217,11/06/15 11:01:08 AM,15.20,,,,,,
218,11/06/15 11:01:09 AM,14.86,,,,,,
219,11/06/15 11:01:10 AM,14.86,,,,,,
220,11/06/15 11:01:11 AM,14.86,,,,,,
221,11/06/15 11:01:12 AM,15.20,,,,,,
222,11/06/15 11:01:13 AM,14.86,,,,,,
223,11/06/15 11:01:14 AM,15.20,,,,,,
