"Plot Title: 1283023"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283023, SEN S/N: 1283023)","Started (LGR S/N: 1283023)","Button Down (LGR S/N: 1283023)","Button Up (LGR S/N: 1283023)","Host Connected (LGR S/N: 1283023)","Stopped (LGR S/N: 1283023)","End Of File (LGR S/N: 1283023)"
1,11/06/15 10:57:19 AM,15.20,Logged,,,,,
2,11/06/15 10:57:20 AM,14.86,,,,,,
3,11/06/15 10:57:21 AM,14.86,,,,,,
4,11/06/15 10:57:22 AM,14.86,,,,,,
5,11/06/15 10:57:23 AM,14.86,,,,,,
6,11/06/15 10:57:24 AM,14.53,,,,,,
7,11/06/15 10:57:25 AM,14.86,,,,,,
8,11/06/15 10:57:26 AM,14.86,,,,,,
9,11/06/15 10:57:27 AM,14.86,,,,,,
10,11/06/15 10:57:28 AM,14.86,,,,,,
11,11/06/15 10:57:29 AM,14.86,,,,,,
12,11/06/15 10:57:30 AM,14.86,,,,,,
13,11/06/15 10:57:31 AM,14.86,,,,,,
14,11/06/15 10:57:32 AM,14.86,,,,,,
15,11/06/15 10:57:33 AM,14.86,,,,,,
16,11/06/15 10:57:34 AM,14.86,,,,,,
17,11/06/15 10:57:35 AM,14.86,,,,,,
18,11/06/15 10:57:36 AM,14.86,,,,,,
19,11/06/15 10:57:37 AM,14.86,,,,,,
20,11/06/15 10:57:38 AM,14.86,,,,,,
21,11/06/15 10:57:39 AM,14.86,,,,,,
22,11/06/15 10:57:40 AM,14.86,,,,,,
23,11/06/15 10:57:41 AM,14.86,,,,,,
24,11/06/15 10:57:42 AM,14.86,,,,,,
25,11/06/15 10:57:43 AM,14.86,,,,,,
26,11/06/15 10:57:44 AM,14.86,,,,,,
27,11/06/15 10:57:45 AM,14.86,,,,,,
28,11/06/15 10:57:46 AM,14.86,,,,,,
29,11/06/15 10:57:47 AM,14.86,,,,,,
30,11/06/15 10:57:48 AM,14.86,,,,,,
31,11/06/15 10:57:49 AM,14.86,,,,,,
32,11/06/15 10:57:50 AM,14.86,,,,,,
33,11/06/15 10:57:51 AM,14.86,,,,,,
34,11/06/15 10:57:52 AM,14.86,,,,,,
35,11/06/15 10:57:53 AM,14.86,,,,,,
36,11/06/15 10:57:54 AM,14.86,,,,,,
