"Plot Title: 1282986"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282986, SEN S/N: 1282986)","Started (LGR S/N: 1282986)","Host Connected (LGR S/N: 1282986)","Stopped (LGR S/N: 1282986)","End Of File (LGR S/N: 1282986)"
1,06/08/16 10:54:58 AM,25.32,Logged,,,
2,06/08/16 10:54:59 AM,25.32,,,,
3,06/08/16 10:55:00 AM,25.32,,,,
4,06/08/16 10:55:01 AM,25.32,,,,
5,06/08/16 10:55:02 AM,25.32,,,,
6,06/08/16 10:55:03 AM,25.32,,,,
7,06/08/16 10:55:04 AM,25.32,,,,
8,06/08/16 10:55:05 AM,25.32,,,,
9,06/08/16 10:55:06 AM,25.32,,,,
10,06/08/16 10:55:07 AM,25.32,,,,
11,06/08/16 10:55:08 AM,25.32,,,,
12,06/08/16 10:55:09 AM,25.32,,,,
13,06/08/16 10:55:10 AM,25.32,,,,
14,06/08/16 10:55:11 AM,25.32,,,,
15,06/08/16 10:55:12 AM,25.32,,,,
16,06/08/16 10:55:13 AM,25.65,,,,
17,06/08/16 10:55:14 AM,25.32,,,,
18,06/08/16 10:55:15 AM,25.65,,,,
19,06/08/16 10:55:16 AM,25.65,,,,
20,06/08/16 10:55:17 AM,25.32,,,,
21,06/08/16 10:55:18 AM,25.32,,,,
22,06/08/16 10:55:19 AM,25.65,,,,
23,06/08/16 10:55:20 AM,25.32,,,,
24,06/08/16 10:55:21 AM,25.32,,,,
25,06/08/16 10:55:22 AM,25.65,,,,
26,06/08/16 10:55:23 AM,25.32,,,,
27,06/08/16 10:55:24 AM,25.65,,,,
28,06/08/16 10:55:25 AM,25.65,,,,
29,06/08/16 10:55:26 AM,25.65,,,,
30,06/08/16 10:55:27 AM,25.32,,,,
31,06/08/16 10:55:28 AM,25.32,,,,
32,06/08/16 10:55:29 AM,25.65,,,,
33,06/08/16 10:55:30 AM,25.65,,,,
34,06/08/16 10:55:31 AM,25.32,,,,
35,06/08/16 10:55:32 AM,25.65,,,,
36,06/08/16 10:55:33 AM,25.32,,,,
37,06/08/16 10:55:34 AM,25.65,,,,
38,06/08/16 10:55:35 AM,25.65,,,,
39,06/08/16 10:55:36 AM,25.65,,,,
40,06/08/16 10:55:37 AM,25.65,,,,
41,06/08/16 10:55:38 AM,25.65,,,,
42,06/08/16 10:55:39 AM,25.65,,,,
43,06/08/16 10:55:40 AM,25.65,,,,
44,06/08/16 10:55:41 AM,25.65,,,,
45,06/08/16 10:55:42 AM,25.65,,,,
46,06/08/16 10:55:43 AM,25.32,,,,
47,06/08/16 10:55:44 AM,25.65,,,,
48,06/08/16 10:55:45 AM,25.65,,,,
49,06/08/16 10:55:46 AM,25.65,,,,
50,06/08/16 10:55:47 AM,25.32,,,,
51,06/08/16 10:55:48 AM,25.65,,,,
52,06/08/16 10:55:49 AM,25.65,,,,
53,06/08/16 10:55:50 AM,25.65,,,,
54,06/08/16 10:55:51 AM,25.65,,,,
55,06/08/16 10:55:52 AM,25.65,,,,
56,06/08/16 10:55:53 AM,25.65,,,,
57,06/08/16 10:55:54 AM,25.65,,,,
58,06/08/16 10:55:55 AM,25.65,,,,
59,06/08/16 10:55:56 AM,25.65,,,,
60,06/08/16 10:55:57 AM,25.65,,,,
61,06/08/16 10:55:58 AM,25.65,,,,
62,06/08/16 10:55:59 AM,25.65,,,,
63,06/08/16 10:56:00 AM,25.65,,,,
64,06/08/16 10:56:01 AM,25.65,,,,
65,06/08/16 10:56:02 AM,25.65,,,,
66,06/08/16 10:56:03 AM,25.65,,,,
67,06/08/16 10:56:04 AM,25.65,,,,
68,06/08/16 10:56:05 AM,25.65,,,,
69,06/08/16 10:56:06 AM,25.65,,,,
70,06/08/16 10:56:07 AM,25.65,,,,
71,06/08/16 10:56:08 AM,25.65,,,,
72,06/08/16 10:56:09 AM,25.65,,,,
73,06/08/16 10:56:10 AM,25.65,,,,
74,06/08/16 10:56:11 AM,25.65,,,,
75,06/08/16 10:56:12 AM,25.65,,,,
76,06/08/16 10:56:13 AM,25.65,,,,
77,06/08/16 10:56:14 AM,25.65,,,,
78,06/08/16 10:56:15 AM,25.65,,,,
79,06/08/16 10:56:16 AM,25.65,,,,
80,06/08/16 10:56:17 AM,25.65,,,,
81,06/08/16 10:56:18 AM,25.65,,,,
