"Plot Title: 1283022"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1283022, SEN S/N: 1283022)","Started (LGR S/N: 1283022)","Host Connected (LGR S/N: 1283022)","Stopped (LGR S/N: 1283022)","End Of File (LGR S/N: 1283022)"
1,06/15/16 10:06:15 AM,28.34,Logged,,,
2,06/15/16 10:06:16 AM,28.34,,,,
3,06/15/16 10:06:17 AM,28.34,,,,
4,06/15/16 10:06:18 AM,28.34,,,,
5,06/15/16 10:06:19 AM,28.34,,,,
6,06/15/16 10:06:20 AM,28.34,,,,
7,06/15/16 10:06:21 AM,28.34,,,,
8,06/15/16 10:06:22 AM,28.34,,,,
9,06/15/16 10:06:23 AM,28.34,,,,
10,06/15/16 10:06:24 AM,28.34,,,,
11,06/15/16 10:06:25 AM,28.34,,,,
12,06/15/16 10:06:26 AM,28.34,,,,
13,06/15/16 10:06:27 AM,28.34,,,,
14,06/15/16 10:06:28 AM,28.34,,,,
15,06/15/16 10:06:29 AM,28.34,,,,
16,06/15/16 10:06:30 AM,28.34,,,,
17,06/15/16 10:06:31 AM,28.34,,,,
18,06/15/16 10:06:32 AM,28.34,,,,
19,06/15/16 10:06:33 AM,28.34,,,,
20,06/15/16 10:06:34 AM,28.34,,,,
21,06/15/16 10:06:35 AM,28.34,,,,
22,06/15/16 10:06:36 AM,28.34,,,,
23,06/15/16 10:06:37 AM,28.34,,,,
24,06/15/16 10:06:38 AM,28.34,,,,
25,06/15/16 10:06:39 AM,28.34,,,,
26,06/15/16 10:06:40 AM,28.34,,,,
27,06/15/16 10:06:41 AM,28.34,,,,
28,06/15/16 10:06:42 AM,28.34,,,,
29,06/15/16 10:06:43 AM,28.34,,,,
30,06/15/16 10:06:44 AM,28.34,,,,
31,06/15/16 10:06:45 AM,28.34,,,,
32,06/15/16 10:06:46 AM,28.34,,,,
33,06/15/16 10:06:47 AM,28.34,,,,
34,06/15/16 10:06:48 AM,28.34,,,,
35,06/15/16 10:06:49 AM,28.34,,,,
36,06/15/16 10:06:50 AM,28.34,,,,
37,06/15/16 10:06:51 AM,28.34,,,,
38,06/15/16 10:06:52 AM,28.34,,,,
39,06/15/16 10:06:53 AM,28.34,,,,
40,06/15/16 10:06:54 AM,28.34,,,,
41,06/15/16 10:06:55 AM,28.34,,,,
42,06/15/16 10:06:56 AM,28.34,,,,
43,06/15/16 10:06:57 AM,28.34,,,,
44,06/15/16 10:06:58 AM,28.34,,,,
45,06/15/16 10:06:59 AM,28.34,,,,
46,06/15/16 10:07:00 AM,28.34,,,,
47,06/15/16 10:07:01 AM,28.34,,,,
48,06/15/16 10:07:02 AM,28.34,,,,
49,06/15/16 10:07:03 AM,28.34,,,,
50,06/15/16 10:07:04 AM,28.34,,,,
51,06/15/16 10:07:05 AM,28.34,,,,
52,06/15/16 10:07:06 AM,28.34,,,,
53,06/15/16 10:07:07 AM,28.34,,,,
54,06/15/16 10:07:08 AM,28.34,,,,
55,06/15/16 10:07:09 AM,28.34,,,,
56,06/15/16 10:07:10 AM,28.34,,,,
57,06/15/16 10:07:11 AM,28.34,,,,
58,06/15/16 10:07:12 AM,28.34,,,,
59,06/15/16 10:07:13 AM,28.34,,,,
60,06/15/16 10:07:14 AM,28.34,,,,
61,06/15/16 10:07:15 AM,28.34,,,,
62,06/15/16 10:07:16 AM,28.34,,,,
63,06/15/16 10:07:17 AM,28.34,,,,
64,06/15/16 10:07:18 AM,28.34,,,,
65,06/15/16 10:07:19 AM,28.34,,,,
