"Plot Title: 1282986"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282986, SEN S/N: 1282986)","Started (LGR S/N: 1282986)","Host Connected (LGR S/N: 1282986)","Stopped (LGR S/N: 1282986)","End Of File (LGR S/N: 1282986)"
1,07/20/16 10:07:03 AM,28.00,Logged,,,
2,07/20/16 10:07:04 AM,28.00,,,,
3,07/20/16 10:07:05 AM,28.00,,,,
4,07/20/16 10:07:06 AM,28.00,,,,
5,07/20/16 10:07:07 AM,28.00,,,,
6,07/20/16 10:07:08 AM,28.00,,,,
7,07/20/16 10:07:09 AM,28.00,,,,
8,07/20/16 10:07:10 AM,28.00,,,,
9,07/20/16 10:07:11 AM,28.00,,,,
10,07/20/16 10:07:12 AM,28.00,,,,
11,07/20/16 10:07:13 AM,28.00,,,,
12,07/20/16 10:07:14 AM,28.00,,,,
13,07/20/16 10:07:15 AM,28.00,,,,
14,07/20/16 10:07:16 AM,28.00,,,,
15,07/20/16 10:07:17 AM,28.00,,,,
16,07/20/16 10:07:18 AM,28.00,,,,
17,07/20/16 10:07:19 AM,28.00,,,,
18,07/20/16 10:07:20 AM,28.34,,,,
19,07/20/16 10:07:21 AM,28.34,,,,
20,07/20/16 10:07:22 AM,28.00,,,,
21,07/20/16 10:07:23 AM,28.67,,,,
22,07/20/16 10:07:24 AM,28.67,,,,
23,07/20/16 10:07:25 AM,28.67,,,,
24,07/20/16 10:07:26 AM,28.34,,,,
25,07/20/16 10:07:27 AM,28.34,,,,
26,07/20/16 10:07:28 AM,28.34,,,,
27,07/20/16 10:07:29 AM,28.34,,,,
28,07/20/16 10:07:30 AM,28.34,,,,
29,07/20/16 10:07:31 AM,28.34,,,,
30,07/20/16 10:07:32 AM,28.34,,,,
31,07/20/16 10:07:33 AM,28.34,,,,
32,07/20/16 10:07:34 AM,28.34,,,,
33,07/20/16 10:07:35 AM,28.34,,,,
34,07/20/16 10:07:36 AM,28.34,,,,
35,07/20/16 10:07:37 AM,28.34,,,,
36,07/20/16 10:07:38 AM,28.34,,,,
37,07/20/16 10:07:39 AM,28.34,,,,
38,07/20/16 10:07:40 AM,28.34,,,,
39,07/20/16 10:07:41 AM,29.01,,,,
40,07/20/16 10:07:42 AM,28.67,,,,
41,07/20/16 10:07:43 AM,28.34,,,,
42,07/20/16 10:07:44 AM,28.34,,,,
43,07/20/16 10:07:45 AM,28.34,,,,
44,07/20/16 10:07:46 AM,28.34,,,,
45,07/20/16 10:07:47 AM,28.34,,,,
46,07/20/16 10:07:48 AM,28.00,,,,
47,07/20/16 10:07:49 AM,28.00,,,,
48,07/20/16 10:07:50 AM,28.00,,,,
49,07/20/16 10:07:51 AM,28.00,,,,
50,07/20/16 10:07:52 AM,28.00,,,,
51,07/20/16 10:07:53 AM,28.00,,,,
52,07/20/16 10:07:54 AM,28.00,,,,
53,07/20/16 10:07:55 AM,28.00,,,,
54,07/20/16 10:07:56 AM,28.00,,,,
55,07/20/16 10:07:57 AM,28.00,,,,
56,07/20/16 10:07:58 AM,28.00,,,,
57,07/20/16 10:07:59 AM,28.00,,,,
58,07/20/16 10:08:00 AM,28.00,,,,
59,07/20/16 10:08:01 AM,28.00,,,,
60,07/20/16 10:08:02 AM,28.00,,,,
61,07/20/16 10:08:03 AM,28.00,,,,
62,07/20/16 10:08:04 AM,28.00,,,,
63,07/20/16 10:08:05 AM,28.00,,,,
64,07/20/16 10:08:06 AM,28.00,,,,
65,07/20/16 10:08:07 AM,28.00,,,,
66,07/20/16 10:08:08 AM,28.00,,,,
67,07/20/16 10:08:09 AM,28.00,,,,
68,07/20/16 10:08:10 AM,28.00,,,,
69,07/20/16 10:08:11 AM,28.00,,,,
70,07/20/16 10:08:12 AM,28.00,,,,
71,07/20/16 10:08:13 AM,28.00,,,,
72,07/20/16 10:08:14 AM,28.00,,,,
73,07/20/16 10:08:15 AM,28.00,,,,
74,07/20/16 10:08:16 AM,28.00,,,,
75,07/20/16 10:08:17 AM,28.00,,,,
76,07/20/16 10:08:18 AM,28.00,,,,
77,07/20/16 10:08:19 AM,28.00,,,,
78,07/20/16 10:08:20 AM,28.00,,,,
79,07/20/16 10:08:21 AM,28.00,,,,
80,07/20/16 10:08:22 AM,28.00,,,,
81,07/20/16 10:08:23 AM,28.00,,,,
82,07/20/16 10:08:24 AM,28.00,,,,
83,07/20/16 10:08:25 AM,28.00,,,,
84,07/20/16 10:08:26 AM,28.00,,,,
85,07/20/16 10:08:27 AM,28.00,,,,
86,07/20/16 10:08:28 AM,28.00,,,,
87,07/20/16 10:08:29 AM,28.00,,,,
88,07/20/16 10:08:30 AM,28.00,,,,
89,07/20/16 10:08:31 AM,28.00,,,,
90,07/20/16 10:08:32 AM,28.00,,,,
91,07/20/16 10:08:33 AM,28.00,,,,
92,07/20/16 10:08:34 AM,28.00,,,,
93,07/20/16 10:08:35 AM,28.00,,,,
