"Plot Title: 2247366"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247366, SEN S/N: 2247366)","Started (LGR S/N: 2247366)","Host Connected (LGR S/N: 2247366)","Stopped (LGR S/N: 2247366)","End Of File (LGR S/N: 2247366)"
1,07/28/16 09:51:09 AM,28.67,Logged,,,
2,07/28/16 09:51:10 AM,28.67,,,,
3,07/28/16 09:51:11 AM,28.67,,,,
4,07/28/16 09:51:12 AM,28.67,,,,
5,07/28/16 09:51:13 AM,28.67,,,,
6,07/28/16 09:51:14 AM,28.67,,,,
7,07/28/16 09:51:15 AM,28.67,,,,
8,07/28/16 09:51:16 AM,28.67,,,,
9,07/28/16 09:51:17 AM,28.67,,,,
10,07/28/16 09:51:18 AM,28.67,,,,
11,07/28/16 09:51:19 AM,28.67,,,,
12,07/28/16 09:51:20 AM,28.67,,,,
13,07/28/16 09:51:21 AM,28.67,,,,
14,07/28/16 09:51:22 AM,28.67,,,,
15,07/28/16 09:51:23 AM,29.01,,,,
16,07/28/16 09:51:24 AM,28.67,,,,
17,07/28/16 09:51:25 AM,28.67,,,,
18,07/28/16 09:51:26 AM,29.01,,,,
19,07/28/16 09:51:27 AM,28.67,,,,
20,07/28/16 09:51:28 AM,28.67,,,,
21,07/28/16 09:51:29 AM,28.67,,,,
22,07/28/16 09:51:30 AM,28.67,,,,
23,07/28/16 09:51:31 AM,28.67,,,,
24,07/28/16 09:51:32 AM,29.01,,,,
25,07/28/16 09:51:33 AM,28.67,,,,
26,07/28/16 09:51:34 AM,28.67,,,,
27,07/28/16 09:51:35 AM,28.67,,,,
28,07/28/16 09:51:36 AM,29.01,,,,
29,07/28/16 09:51:37 AM,29.01,,,,
30,07/28/16 09:51:38 AM,28.67,,,,
31,07/28/16 09:51:39 AM,29.01,,,,
32,07/28/16 09:51:40 AM,28.67,,,,
33,07/28/16 09:51:41 AM,28.67,,,,
34,07/28/16 09:51:42 AM,29.01,,,,
35,07/28/16 09:51:43 AM,28.67,,,,
36,07/28/16 09:51:44 AM,29.01,,,,
37,07/28/16 09:51:45 AM,28.67,,,,
38,07/28/16 09:51:46 AM,28.67,,,,
39,07/28/16 09:51:47 AM,28.67,,,,
40,07/28/16 09:51:48 AM,28.67,,,,
41,07/28/16 09:51:49 AM,29.01,,,,
42,07/28/16 09:51:50 AM,28.67,,,,
43,07/28/16 09:51:51 AM,29.01,,,,
44,07/28/16 09:51:52 AM,28.67,,,,
45,07/28/16 09:51:53 AM,28.67,,,,
46,07/28/16 09:51:54 AM,29.01,,,,
47,07/28/16 09:51:55 AM,28.67,,,,
48,07/28/16 09:51:56 AM,28.67,,,,
49,07/28/16 09:51:57 AM,28.67,,,,
50,07/28/16 09:51:58 AM,29.01,,,,
51,07/28/16 09:51:59 AM,29.01,,,,
52,07/28/16 09:52:00 AM,28.67,,,,
53,07/28/16 09:52:01 AM,29.01,,,,
54,07/28/16 09:52:02 AM,29.01,,,,
55,07/28/16 09:52:03 AM,29.01,,,,
56,07/28/16 09:52:04 AM,29.01,,,,
57,07/28/16 09:52:05 AM,29.01,,,,
58,07/28/16 09:52:06 AM,29.01,,,,
59,07/28/16 09:52:07 AM,29.01,,,,
60,07/28/16 09:52:08 AM,29.01,,,,
61,07/28/16 09:52:09 AM,29.01,,,,
62,07/28/16 09:52:10 AM,29.01,,,,
63,07/28/16 09:52:11 AM,29.01,,,,
64,07/28/16 09:52:12 AM,29.01,,,,
65,07/28/16 09:52:13 AM,29.01,,,,
66,07/28/16 09:52:14 AM,29.01,,,,
67,07/28/16 09:52:15 AM,29.01,,,,
68,07/28/16 09:52:16 AM,29.01,,,,
69,07/28/16 09:52:17 AM,29.01,,,,
70,07/28/16 09:52:18 AM,29.01,,,,
71,07/28/16 09:52:19 AM,29.01,,,,
72,07/28/16 09:52:20 AM,29.01,,,,
73,07/28/16 09:52:21 AM,29.01,,,,
74,07/28/16 09:52:22 AM,29.01,,,,
75,07/28/16 09:52:23 AM,29.01,,,,
76,07/28/16 09:52:24 AM,29.01,,,,
77,07/28/16 09:52:25 AM,29.01,,,,
78,07/28/16 09:52:26 AM,29.01,,,,
79,07/28/16 09:52:27 AM,29.01,,,,
80,07/28/16 09:52:28 AM,29.01,,,,
81,07/28/16 09:52:29 AM,29.01,,,,
82,07/28/16 09:52:30 AM,29.01,,,,
83,07/28/16 09:52:31 AM,29.01,,,,
84,07/28/16 09:52:32 AM,29.01,,,,
85,07/28/16 09:52:33 AM,29.01,,,,
86,07/28/16 09:52:34 AM,29.01,,,,
87,07/28/16 09:52:35 AM,29.01,,,,
88,07/28/16 09:52:36 AM,29.01,,,,
89,07/28/16 09:52:37 AM,29.01,,,,
90,07/28/16 09:52:38 AM,29.01,,,,
91,07/28/16 09:52:39 AM,29.01,,,,
92,07/28/16 09:52:40 AM,29.01,,,,
93,07/28/16 09:52:41 AM,29.01,,,,
94,07/28/16 09:52:42 AM,29.01,,,,
95,07/28/16 09:52:43 AM,29.01,,,,
