SP.ID,section,H.P,H.90,Dbase.a1,Dbase.b1,Dbase.a2,Dbase.b2,Dbase.a3,Dbase.b3,Dtop.a1,Dtop.b1,Dtop.a2,Dtop.b2,Dtop.a3,Dtop.b3,sec.height,sec.length,tiller.num,FM.field,DM.field,FM.gh,DM.gh,LMA.area,LMA.mass
AL49,B,38,26,10,5,9,6,7,8,12,19.5,12,20.5,16.5,20,14,18,236,2.41,1.53 ,0.46,0.43,,
AL49,S,,,12,19.5,12,20.5,16.5,20,40,36,37,38,37,45,17,22,,,,,,,
AL50,B,36,27,8.5,10,10,8.5,10,9,20,21.5,22,17.5,19.5,17.5,14,17,71,2.41,1.53 ,0.53,0.5,,
AL50,S,,,,,,,,,38,18,35,23,30,47,19,20,,,,,,,
OH13,B,68,36,2.5,2,3,3,3,3,20,21.5,22,17.5,19.5,17.5,14,17,100,5.04,3.75 ,0.65,0.62,,
OH13,S,,,,,,,,,13,12,13,18,17,13,15,25,,,,,,,
OH13,I,,,,,,,,,21,17,29,15,17,15,24,26,,,,,,,
OH14,B,72,55,5.5,4,4.5,3.5,4.5,4,17.5,13,22,14.5,17,20,18,18,42,5.04,3.75 ,0.31,0.29,,
OH14,S,,,,,,,,,31,17,28.5,30,25,30,26,26,,,,,,,
OH14,I,,,,,,,,,23,14,20.5,14,23,26,16,23,,,,,,,
EGC11,W,32,20,11.5,14.5,18,15,16.5,17.5,36,38,39,34,38,39,21,,313,7.85,4.36 ,0.93,0.9,,
EGC12,W,37,25,16.5,15.5,16.5,14.5,16.5,17,41,24,27,41,33,32,24,,151,7.85,4.36 ,1.13,1.09,,
SN15,W,34,20,14.5,11,13.5,10.5,10.5,12,37,31,23,37,29,38,23,,303,7.15,4.75 ,0.61,0.55,,
SN16,W,35,20,12.5,10.5,11,13,11,11,36,33,38,38,39,39,23,,188,7.15,4.75 ,0.48,0.41,,
EC03,W,75,65,11,4,2,10,5,10,100,42,85,9.5,103,20,65,,12,6.46,3.24 ,0.74,0.68,,
EC04,W,78,66,6.5,3,6.5,2,6.5,3.5,76,24,65,24,25,73,66,,12,6.46,3.24 ,0.58,0.55,,
PC21,W,73,20,8,8,7.5,7,8,7.5,35,29,28,31,26,26,24,,187,10.1,3.84 ,1.18,1.11,,
PC22,W,34,20,6,6.5,7,6,6.5,6,50,31,45,36,44,47,21,,119,10.1,3.84 ,0.92,0.87,,
AH05,B,85,43,7,9.5,9,10,9,9.5,9.5,6,8.5,8,6.5,8,14,18,165,3.06,1.43 ,0.84,0.81,,
AH05,S,,,,,,,,,10,6,7.5,2,9.5,6,34,34,,,,,,,
AH06,B,,,,,,,,,5,3.5,5,4,5,4,16,16,41,3.06,1.43 ,0.36,0.33,,
AH06,S,,,,,,,,,3,1,4,2,4,3,52,52,,,,,,,
MD07,W,37,25,9.5,10,10,9.5,50,31,47,31,37,43,31,,,,201,1.75,1.07 ,0.27,0.24,,
MD08,W,42,24,10,9,9.5,10,10,8,31,26,27,27,29,26,25,,175,1.75,1.07 ,0.16,0.16,,
AS15,W,34,32,10.5,8,8.5,10.5,9.5,9,18,21,21,30,30,28,18,,18,3.77,1.94 ,0.19,0.18,,
AS16,W,35,25,12,11.5,9.5,12.5,12,8.5,100,33,55,31,86,34,15,,12,3.77,1.94 ,0.25,0.25,,
AG02,B,88,60,5.5,7,6,5.5,8.5,6,25,12,20,13,17,14,19,30,19,6.54,1.88 ,0.44,0.4,,
AG02,S,,,,,,,,,26,28,18,30,30,21,29,34,,,,,,,
AG02,I,,,,,,,,,26,16,19,25,28,15,18,10,,,,,,,
AG01,B,109,85,16,14.5,13.5,14.5,15.5,14,30,29,30,30,30,30,20,34,12,6.54,1.88 ,0.97,0.91,,
AG01,S,,,,,,,,,82,23,47,57,25,72,42,32,,,,,,,
AG01,I,,,,,,,,,100,36,42,100,35,104,47,53,,,,,,,
AL45,B,63,35,13,14,13,16,14.5,13,30,27,34,33,30,36,16,18,251,3.11,2.08 ,0.79,0.73,,
AL45,S,,,,,,,,,62,39,39,65,65,50,33,36,,,,,,,
AL46,B,68,35,14,13.5,12,12.5,14.5,12,29,16,22,35,28,30,16,20,208,3.11,2.08 ,1.65,1.32,,
AL46,S,,,,,,,,,100,65,94,58,100,70,36,68,,,,,,,
OH09,B,71,55,12,12,11,11,10,11,18,18,20,22,22,20,13,15,69,8.06,6.04 ,1.19,1.12,,
OH09,S,,,,,,,,,31,31,25,32,35,25,33,30,,,,,,,
OH09,I,,,,,,,,,29,30,48,29,54,34,24,30,,,,,,,
OH10,B,77,55,6.5,5.5,6,7,6,5,30,19,28,25,30,29,20,30,92,8.06,6.04 ,1.41,1.41,,
OH10,S,,,,,,,,,55,58,90,59,59,48,28,30,,,,,,,
OH10,I,,,,,,,,,100,80,83,70,71,100,29,39,,,,,,,
EGC13,B(NOT BEND),28,22,11,11.5,9,12.5,9,12,45,33,34,24,28,29,22,30,90,7.65,4.02 ,0.92,0.85,,
EGC13,S(BEND),,,12,42,14,41,14,40,13,39,14,45,12,39,30,40,,,,,,,
EGC14,B(NOT BEND),26,18,8,7,8,6.5,6,8,27,29,30,30,28,30,18,18,82,7.65,4.02 ,0.69,0.62,,
EGC14,S(BEND),,,33,5,39,9,32,7,31,5,22,10,30,8,40,50,,,,,,,
SN09,W,32,20,10,7.5,8,10,9,8,41,35,48,50,37,40,23,,138,6.99,4.56 ,0.78,0.74,,
SN10,W,35,21,7.5,6,7,7.5,6,6,40,35,38,31,26,44,30,,96,6.99,4.56 ,0.54,0.51,,
EC11,W,103,100,10,13,9,16,8,17,130,31,100,105,130,77,100,,15,6.74,3.77 ,2.17,2.05,,
EC12,W,106,84,11,9,9.5,8,9,11,80,50,72,29,40,80,86,,37,6.74,3.77 ,2.26,2.12,,
PC29,W,30,24,11.5,7,10.5,9.5,7,10,19,23,15,21,14,23,60,,112,6.78,2.85 ,0.86,0.78,,
PC30,W,29,18,10.5,6,10,7.5,9,6,14,12,28,11,30,18,60,,76,6.78,2.85 ,0.71,0.62,,
AH15,B,80,58,11,16,14,13,16,11,12,9.5,13,11.5,13.5,14,24,26,91,7.01,2.91 ,0.64,0.6,,
AH15,S,,,,,,,,,36,24,46,25,47,35,50,52,,,,,,,
AH16,B,30,22,10.5,11,9,9,11.5,9,11,7,7.5,11,7,10.5,10,15,68,7.01,2.91 ,1.25,1.15,,
AH16,S,,,,,,,,,22,25,20,22,18,24,55,60,,,,,,,
MD17,W,32,22,8,5.5,6,6,7,5,30,30,40,44,42,42,25,,48,1.02,0.56 ,0.25,0.21,,
MD18,W,30,21,4,2,4,2,4,2,21,14,13,20,20,30,30,,24,1.02,0.56 ,0.15,0.13,,
AS07,W,49,30,14,5,13,3,13,5,48,15,30,50,48,12,47,,11,2.82,1.46 ,0.3,0.28,,
AS08,W,28,25,11.5,10.5,12.5,12,12.5,9.5,26,16,18,16,16,18,14,,22,2.82,1.46 ,0.24,0.23,,
AG09,B,74,50,8,16,8,15,6,14,16,20,20,18,18,18,18,28,6,9.79,2.73 ,1.19,1.09,,
AG09,S,,,,,,,,,34,20,16,30,14,44,25,31,,,,,,,
AG09,I,,,,,,,,,77,51,35,56,66,32,48,66,,,,,,,
AG10,B,60,47,15,12,14,12,10,12.5,29,16,18,30,30,14.5,16,30,9,9.79,2.73 ,1.45,1.23,,
AG10,S,,,,,,,,,33,10,16,41,38,7,34,34,,,,,,,
AG10,I,,,,,,,,,60,12,14,63,9,58,40,40,,,,,,,
AL44,B,45,35,9,7,6.5,9,8.5,8.5,11,14,11,13,14.5,13,16,17,292,5.23,3.26 ,0.38,0.34,,
AL44,S,,,,,,,,,27,21,28,28,25,21,27,30,,,,,,,
AL43,B,44,35,11,6.5,9,8.5,11,10,13.5,11.5,17,13,15,16,15,15,149,5.23,3.26 ,0.43,0.37,,
AL43,S,,,,,,,,,19.5,26,15,27,21,28,25,25,,,,,,,
OH08,B,64.5,49,6,3,5,4.5,4,5.5,8,10.5,6.5,7,9.5,8,10,10,108,6.26,4.58 ,0.76,0.68,,
OH08,S,,,,,,,,,22.5,16,9,14.5,19,9,27,28,,,,,,,
OH08,I,,,,,,,,,24,11,23,12,22.5,18,19,21,,,,,,,
OH07,B,73,51,9.5,5.5,7,8,6,8.5,9.5,14,16,13.5,17,16,10,12,164,6.26,4.58 ,0.49,0.43,,
OH07,S,,,,,,,,,24,18.5,20.5,28.5,21,23.5,27,30,,,,,,,
OH07,I,,,,,,,,,51,23,38,43,23,24,21,28,,,,,,,
EC06,W,130,100,7,6,8,6,8,6,42,2.5,43,3,43,3,100,,16,7.70 ,3.91 ,0.94,0.83,,
EC05,W,106,75,12,11,13.5,10.5,13.5,11,15,24,24,15,38,29,100,,43,7.70 ,3.91 ,1.29,1.12,,
SN06,W,43,26,9,9,5.5,7.5,6,7.5,48,30,40,30,42,30,23,,216,6.85 ,4.39 ,0.78,0.7,,
SN05,W,38,25,11,10,11,9,9.5,11,41,40,39,37,49,32,,,250,6.85 ,4.39 ,0.5,0.44,,
EGC06,W,70,31,20,12.5,14.5,18,11.5,15,26,21,14,21,15.5,25,34,,430,10.45 ,5.25 ,1.12,0.98,,
EGC05,W,91,35,10,14,12,15,13,13.5,16,16,20,13,15,13,4.5,,451,10.45 ,5.25 ,0.8,0.7,,
AG08,B,85,63,15,7,13.5,6,14,7,17,7,17,8,15,7,15,15,81,5.36 ,1.56 ,1.71,1.43,,
AG08,S,,,,,,,,,33,23,24,24,27,20,27,27,,,,,,,
AG08,I,,,,,,,,,44,36,27,41,36,29,21,30,,,,,,,
AG07,B,94,84,14.5,11,12.5,15,11,14,18,12,22,11.5,18,13,15,15,20,5.36 ,1.56 ,0.39,0.34,,
AG07,S,,,,,,,,,16.5,1,19,1,20,1,46,46,,,,,,,
AG07,I,,,,,,,,,64,22,60,37,40,60,33,40,,,,,,,
PC26,W,57,38,7,5.5,6,6,6,6.5,11,7,13,9,9,7,36,,105,4.19 ,1.40 ,0.7,0.64,,
