"Plot Title: 2247366 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/23/15 12:48:04.143 PM,20.61,Logged,,,
2,10/23/15 12:48:05.143 PM,20.61,,,,
3,10/23/15 12:48:06.143 PM,20.61,,,,
4,10/23/15 12:48:07.143 PM,20.61,,,,
5,10/23/15 12:48:08.143 PM,20.61,,,,
6,10/23/15 12:48:09.143 PM,20.61,,,,
7,10/23/15 12:48:10.143 PM,20.61,,,,
8,10/23/15 12:48:11.143 PM,20.61,,,,
9,10/23/15 12:48:12.143 PM,20.61,,,,
10,10/23/15 12:48:13.143 PM,20.61,,,,
11,10/23/15 12:48:14.143 PM,20.61,,,,
12,10/23/15 12:48:15.143 PM,20.61,,,,
13,10/23/15 12:48:16.143 PM,20.61,,,,
14,10/23/15 12:48:17.143 PM,20.61,,,,
15,10/23/15 12:48:18.143 PM,20.61,,,,
16,10/23/15 12:48:19.143 PM,20.61,,,,
17,10/23/15 12:48:20.143 PM,20.61,,,,
18,10/23/15 12:48:21.143 PM,20.61,,,,
19,10/23/15 12:48:22.143 PM,20.61,,,,
20,10/23/15 12:48:23.143 PM,20.61,,,,
21,10/23/15 12:48:24.143 PM,20.61,,,,
22,10/23/15 12:48:25.143 PM,20.61,,,,
23,10/23/15 12:48:26.143 PM,20.61,,,,
24,10/23/15 12:48:27.143 PM,20.61,,,,
25,10/23/15 12:48:28.143 PM,20.61,,,,
26,10/23/15 12:48:29.143 PM,20.61,,,,
27,10/23/15 12:48:30.143 PM,20.61,,,,
28,10/23/15 12:48:31.143 PM,20.61,,,,
29,10/23/15 12:48:32.143 PM,20.61,,,,
30,10/23/15 12:48:33.143 PM,20.61,,,,
31,10/23/15 12:48:34.143 PM,20.61,,,,
32,10/23/15 12:48:35.143 PM,20.61,,,,
33,10/23/15 12:48:36.143 PM,20.61,,,,
34,10/23/15 12:48:37.143 PM,20.61,,,,
35,10/23/15 12:48:38.143 PM,20.61,,,,
36,10/23/15 12:48:39.143 PM,20.61,,,,
37,10/23/15 12:48:40.143 PM,20.61,,,,
38,10/23/15 12:48:41.143 PM,20.61,,,,
39,10/23/15 12:48:42.143 PM,20.95,,,,
40,10/23/15 12:48:43.143 PM,20.61,,,,
41,10/23/15 12:48:44.143 PM,20.95,,,,
42,10/23/15 12:48:45.143 PM,20.95,,,,
43,10/23/15 12:48:46.143 PM,20.95,,,,
44,10/23/15 12:48:47.143 PM,20.95,,,,
45,10/23/15 12:48:48.143 PM,20.95,,,,
46,10/23/15 12:48:49.143 PM,20.95,,,,
47,10/23/15 12:48:50.143 PM,20.61,,,,
48,10/23/15 12:48:51.143 PM,20.95,,,,
49,10/23/15 12:48:52.143 PM,20.61,,,,
50,10/23/15 12:48:53.143 PM,20.61,,,,
51,10/23/15 12:48:54.143 PM,20.95,,,,
52,10/23/15 12:48:55.143 PM,20.95,,,,
53,10/23/15 12:48:56.143 PM,20.95,,,,
54,10/23/15 12:48:57.143 PM,20.95,,,,
55,10/23/15 12:48:58.143 PM,20.95,,,,
56,10/23/15 12:48:59.143 PM,20.61,,,,
57,10/23/15 12:49:00.143 PM,20.95,,,,
58,10/23/15 12:49:01.143 PM,20.95,,,,
59,10/23/15 12:49:02.143 PM,20.61,,,,
60,10/23/15 12:49:03.143 PM,20.61,,,,
61,10/23/15 12:49:04.143 PM,20.61,,,,
62,10/23/15 12:49:05.143 PM,20.95,,,,
63,10/23/15 12:49:06.143 PM,20.95,,,,
