"Plot Title: 1283023 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/23/15 12:49:06.169 PM,20.95,Logged,,,
2,10/23/15 12:49:07.169 PM,20.61,,,,
3,10/23/15 12:49:08.169 PM,20.61,,,,
4,10/23/15 12:49:09.169 PM,20.61,,,,
5,10/23/15 12:49:10.169 PM,20.61,,,,
6,10/23/15 12:49:11.169 PM,20.61,,,,
7,10/23/15 12:49:12.169 PM,20.95,,,,
8,10/23/15 12:49:13.169 PM,20.61,,,,
9,10/23/15 12:49:14.169 PM,20.61,,,,
10,10/23/15 12:49:15.169 PM,20.95,,,,
11,10/23/15 12:49:16.169 PM,20.61,,,,
12,10/23/15 12:49:17.169 PM,20.61,,,,
13,10/23/15 12:49:18.169 PM,20.61,,,,
14,10/23/15 12:49:19.169 PM,20.61,,,,
15,10/23/15 12:49:20.169 PM,20.61,,,,
16,10/23/15 12:49:21.169 PM,20.95,,,,
17,10/23/15 12:49:22.169 PM,20.95,,,,
18,10/23/15 12:49:23.169 PM,20.95,,,,
19,10/23/15 12:49:24.169 PM,20.95,,,,
20,10/23/15 12:49:25.169 PM,20.95,,,,
21,10/23/15 12:49:26.169 PM,20.95,,,,
22,10/23/15 12:49:27.169 PM,20.95,,,,
23,10/23/15 12:49:28.169 PM,20.95,,,,
24,10/23/15 12:49:29.169 PM,20.95,,,,
25,10/23/15 12:49:30.169 PM,20.95,,,,
26,10/23/15 12:49:31.169 PM,20.95,,,,
27,10/23/15 12:49:32.169 PM,20.95,,,,
28,10/23/15 12:49:33.169 PM,20.95,,,,
29,10/23/15 12:49:34.169 PM,20.95,,,,
30,10/23/15 12:49:35.169 PM,20.95,,,,
31,10/23/15 12:49:36.169 PM,20.95,,,,
32,10/23/15 12:49:37.169 PM,20.95,,,,
33,10/23/15 12:49:38.169 PM,20.95,,,,
34,10/23/15 12:49:39.169 PM,20.95,,,,
35,10/23/15 12:49:40.169 PM,20.95,,,,
36,10/23/15 12:49:41.169 PM,20.95,,,,
37,10/23/15 12:49:42.169 PM,20.95,,,,
38,10/23/15 12:49:43.169 PM,20.95,,,,
39,10/23/15 12:49:44.169 PM,20.95,,,,
40,10/23/15 12:49:45.169 PM,20.95,,,,
41,10/23/15 12:49:46.169 PM,20.95,,,,
42,10/23/15 12:49:47.169 PM,20.95,,,,
43,10/23/15 12:49:48.169 PM,20.95,,,,
44,10/23/15 12:49:49.169 PM,20.95,,,,
45,10/23/15 12:49:50.169 PM,20.95,,,,
46,10/23/15 12:49:51.169 PM,20.95,,,,
47,10/23/15 12:49:52.169 PM,20.95,,,,
48,10/23/15 12:49:53.169 PM,20.95,,,,
49,10/23/15 12:49:54.169 PM,20.95,,,,
50,10/23/15 12:49:55.169 PM,20.95,,,,
51,10/23/15 12:49:56.169 PM,20.95,,,,
52,10/23/15 12:49:57.169 PM,20.95,,,,
53,10/23/15 12:49:58.169 PM,20.95,,,,
54,10/23/15 12:49:59.169 PM,20.95,,,,
55,10/23/15 12:50:00.169 PM,20.95,,,,
56,10/23/15 12:50:01.169 PM,20.95,,,,
57,10/23/15 12:50:02.169 PM,20.95,,,,
58,10/23/15 12:50:03.169 PM,20.95,,,,
59,10/23/15 12:50:04.169 PM,20.95,,,,
60,10/23/15 12:50:05.169 PM,20.95,,,,
61,10/23/15 12:50:06.169 PM,20.95,,,,
62,10/23/15 12:50:07.169 PM,20.95,,,,
63,10/23/15 12:50:08.169 PM,20.95,,,,
64,10/23/15 12:50:09.169 PM,20.95,,,,
65,10/23/15 12:50:10.169 PM,20.95,,,,
66,10/23/15 12:50:11.169 PM,20.95,,,,
67,10/23/15 12:50:12.169 PM,20.95,,,,
68,10/23/15 12:50:13.169 PM,20.95,,,,
69,10/23/15 12:50:14.169 PM,20.95,,,,
70,10/23/15 12:50:15.169 PM,20.95,,,,
71,10/23/15 12:50:16.169 PM,20.95,,,,
72,10/23/15 12:50:17.169 PM,20.95,,,,
73,10/23/15 12:50:18.169 PM,20.95,,,,
74,10/23/15 12:50:19.169 PM,20.95,,,,
75,10/23/15 12:50:20.169 PM,20.95,,,,
76,10/23/15 12:50:21.169 PM,20.95,,,,
77,10/23/15 12:50:22.169 PM,20.95,,,,
78,10/23/15 12:50:23.169 PM,20.95,,,,
79,10/23/15 12:50:24.169 PM,20.95,,,,
80,10/23/15 12:50:25.169 PM,20.95,,,,
81,10/23/15 12:50:26.169 PM,20.95,,,,
82,10/23/15 12:50:27.169 PM,20.95,,,,
83,10/23/15 12:50:28.169 PM,20.95,,,,
84,10/23/15 12:50:29.169 PM,20.95,,,,
85,10/23/15 12:50:30.169 PM,20.95,,,,
86,10/23/15 12:50:31.169 PM,20.95,,,,
87,10/23/15 12:50:32.169 PM,20.95,,,,
88,10/23/15 12:50:33.169 PM,20.95,,,,
89,10/23/15 12:50:34.169 PM,20.95,,,,
90,10/23/15 12:50:35.169 PM,20.95,,,,
91,10/23/15 12:50:36.169 PM,20.95,,,,
92,10/23/15 12:50:37.169 PM,20.95,,,,
93,10/23/15 12:50:38.169 PM,20.95,,,,
94,10/23/15 12:50:39.169 PM,20.95,,,,
95,10/23/15 12:50:40.169 PM,20.95,,,,
96,10/23/15 12:50:41.169 PM,20.95,,,,
97,10/23/15 12:50:42.169 PM,20.95,,,,
98,10/23/15 12:50:43.169 PM,20.95,,,,
99,10/23/15 12:50:44.169 PM,20.95,,,,
100,10/23/15 12:50:45.169 PM,20.95,,,,
