Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Duration,Invasive,Shade Tolerance
ACHY,,Achnatherum hymenoides,"USA (AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK, YT)",Perennial,,Intolerant
ACSC11,,Achnatherum scribneri,"USA (CO, NM, OK, TX, WY)",Perennial,,
AGCR,,Agropyron cristatum,"USA (AK, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, LB, MB, NS, NT, ON, QC, SK, YT)",Perennial,,
AGCRP8,,Agropyron cristatum ssp. pectinatum,"USA (AK, CA, CO, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, LB, MB, NS, NT, ON, QC, SK, YT)",Perennial,,
AGEX,,Agrostis exarata,"USA (AK, AZ, CA, CO, ID, KY, MT, NE, NM, NV, OK, OR, SD, TX, UT, VT, WA, WY), CAN (AB, BC, NT, SK, YT)",Perennial,,Intolerant
AGGI2,,Agrostis gigantea,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL)",Perennial,,Intolerant
AGHY,,Agrostis hyemalis,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (ON)",Perennial,,Intermediate
AGPE,,Agrostis perennans,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (NB, NF, NS, ON, PE, QC)",Perennial,,Intermediate
ALGE2,,Alopecurus geniculatus,"USA (AK, AZ, CA, CO, CT, DC, IA, ID, IL, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,Intolerant
ALGEG4,,Alopecurus geniculatus var. geniculatus,"USA (AK, AZ, CA, CO, CT, DC, IA, ID, IL, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
ANGE,,Andropogon gerardii,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY), CAN (MB, ON, QC, SK)",Perennial,SWSS,Intolerant
ANGL2,,Andropogon glomeratus,"USA (, AL, AR, AZ, CA, DC, DE, FL, GA, HI, IL, KY, LA, MA, MD, MS, NC, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, WV), USA+ (PR, VI)",Perennial,,Intolerant
ANGLH,,Andropogon glomeratus var. hirsutior,"USA (AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,
ANGLP,,Andropogon glomeratus var. pumilus,"USA (AL, AR, AZ, CA, FL, GA, LA, MS, NC, NM, NV, OK, SC, TX, UT, VA), USA+ (PR, VI)",Perennial,,
ANGY2,,Andropogon gyrans,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
ANGYG,,Andropogon gyrans var. gyrans,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
